                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.7660   3.4559  18.0000  0.10944E+02  0.10259E+02  0.64707E-03  0.10120E+02  0.95828E+01  0.63118E-03  0.94317E+01
    5.7660   3.5541  18.0000  0.93786E+01  0.87174E+01  0.31486E-03  0.85678E+01  0.81096E+01  0.30632E-03  0.79485E+01
    5.7660   3.6444  18.0000  0.80063E+01  0.73813E+01  0.15152E-03  0.72181E+01  0.68392E+01  0.14702E-03  0.66653E+01
    5.7660   3.7275  18.0000  0.67865E+01  0.62123E+01  0.72189E-04  0.60325E+01  0.57353E+01  0.69860E-04  0.55458E+01
    5.7660   3.8042  18.0000  0.57117E+01  0.51988E+01  0.34046E-04  0.49991E+01  0.47855E+01  0.32860E-04  0.45773E+01
    5.7660   3.8757  18.0000  0.47795E+01  0.43323E+01  0.15809E-04  0.41090E+01  0.39790E+01  0.15217E-04  0.37487E+01
    5.7660   3.9419  18.0000  0.39993E+01  0.36154E+01  0.72821E-05  0.33648E+01  0.33155E+01  0.69910E-05  0.30601E+01
    5.7660   4.0036  18.0000  0.33618E+01  0.30344E+01  0.33196E-05  0.27526E+01  0.27802E+01  0.31784E-05  0.24963E+01
    5.7660   4.0614  18.0000  0.28548E+01  0.25741E+01  0.14953E-05  0.22571E+01  0.23571E+01  0.14278E-05  0.20415E+01
    5.7660   4.1155  18.0000  0.24662E+01  0.22199E+01  0.66763E-06  0.18641E+01  0.20312E+01  0.63579E-06  0.16812E+01
    5.7660   4.1662  18.0000  0.21735E+01  0.19494E+01  0.29597E-06  0.15517E+01  0.17810E+01  0.28110E-06  0.13943E+01
    5.7660   4.2140  18.0000  0.19467E+01  0.17357E+01  0.12996E-06  0.12941E+01  0.15815E+01  0.12310E-06  0.11572E+01
    5.7660   4.2589  18.0000  0.17579E+01  0.15553E+01  0.56836E-07  0.10699E+01  0.14121E+01  0.53687E-07  0.95095E+00
    5.7660   4.3013  18.0000  0.15864E+01  0.13917E+01  0.24707E-07  0.86490E+00  0.12583E+01  0.23275E-07  0.76370E+00
    5.7660   4.3415  18.0000  0.14241E+01  0.12382E+01  0.10664E-07  0.67668E+00  0.11145E+01  0.10019E-07  0.59345E+00
    5.7660   4.3794  18.0000  0.12710E+01  0.10948E+01  0.46020E-08  0.51073E+00  0.98078E+00  0.43117E-08  0.44497E+00
    5.7660   4.4153  18.0000  0.11258E+01  0.96003E+00  0.19822E-08  0.37156E+00  0.85565E+00  0.18521E-08  0.32175E+00
    5.7660   4.4496  18.0000  0.98410E+00  0.83026E+00  0.84755E-09  0.26061E+00  0.73573E+00  0.78976E-09  0.22437E+00
    5.7660   4.4820  18.0000  0.84339E+00  0.70410E+00  0.36395E-09  0.17747E+00  0.62019E+00  0.33822E-09  0.15198E+00
    5.7660   4.5129  18.0000  0.70282E+00  0.58115E+00  0.15598E-09  0.11738E+00  0.50892E+00  0.14456E-09  0.10001E+00
    5.7660   4.5425  18.0000  0.56751E+00  0.46553E+00  0.66575E-10  0.75507E-01  0.40556E+00  0.61533E-10  0.64019E-01
