 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.449953347       1.95056617       18.0000000       3.45589995       10.9437027       9.58277893    
  0.483282775       2.00599217       18.0000000       3.55410004       9.37857533       8.10955238    
  0.516653776       2.05695868       18.0000000       3.64439988       8.00626659       6.83916235    
  0.549976468       2.10386181       18.0000000       3.72749996       6.78645134       5.73534632    
  0.583237886       2.14715242       18.0000000       3.80419993       5.71168423       4.78554535    
  0.616675317       2.18750834       18.0000000       3.87570000       4.77948046       3.97897506    
  0.649971187       2.22487259       18.0000000       3.94190001       3.99932837       3.31553435    
  0.683255911       2.25969720       18.0000000       4.00360012       3.36182761       2.78015137    
  0.716622531       2.29232049       18.0000000       4.06139994       2.85479069       2.35709047    
  0.749970615       2.32285547       18.0000000       4.11549997       2.46620345       2.03121686    
  0.783270240       2.35147119       18.0000000       4.16620016       2.17346549       1.78096962    
  0.816657662       2.37845039       18.0000000       4.21400023       1.94669354       1.58149052    
  0.849948525       2.40379286       18.0000000       4.25890017       1.75788486       1.41205823    
  0.883259356       2.42772388       18.0000000       4.30130005       1.58642292       1.25826132    
  0.916673005       2.45041323       18.0000000       4.34149981       1.42412412       1.11451852    
  0.949949443       2.47180462       18.0000000       4.37939978       1.27098179      0.980777204    
  0.983192265       2.49206734       18.0000000       4.41529989       1.12579000      0.855646193    
   1.01664746       2.51142693       18.0000000       4.44960022      0.984095454      0.735728562    
   1.04989040       2.52971387       18.0000000       4.48199987      0.843393564      0.620193720    
   1.08319616       2.54715419       18.0000000       4.51289988      0.702821612      0.508919835    
   1.11667848       2.56386113       18.0000000       4.54250002      0.567509651      0.405563921    
   1.14987659       2.57966471       18.0000000       4.57049990      0.446808904      0.316041708    
   1.18326938       2.59484744       18.0000000       4.59740019      0.344233721      0.241632253    
   1.21664011       2.60935283       18.0000000       4.62309980      0.261988759      0.182921425    
   1.24988163       2.62318134       18.0000000       4.64760017      0.198537886      0.138138607    
   1.28316331       2.63644505       18.0000000       4.67110014      0.150399953      0.104454897    
   1.31654620       2.64920068       18.0000000       4.69369984      0.114446275       7.94393048E-02
   1.34995234       2.66144872       18.0000000       4.71540022       8.79432708E-02   6.10437840E-02
   1.38313031       2.67313218       18.0000000       4.73610020       6.84838369E-02   4.75411117E-02
   1.41664767       2.68447685       18.0000000       4.75619984       5.38007356E-02   3.73507440E-02
   1.44993556       2.69531369       18.0000000       4.77540016       4.27857749E-02   2.97028534E-02
   1.48325288       2.70575523       18.0000000       4.79390001       3.42516191E-02   2.37909760E-02
   1.51652920       2.71580195       18.0000000       4.81169987       2.77770963E-02   1.92929711E-02
   1.54988468       2.72550988       18.0000000       4.82889986       2.26993896E-02   1.57664232E-02
   1.58325911       2.73487926       18.0000000       4.84549999       1.86941139E-02   1.29851634E-02
   1.61658585       2.74390960       18.0000000       4.86149979       1.55156981E-02   1.07781496E-02
   1.64979708       2.75260186       18.0000000       4.87690020       1.29777230E-02   9.01581161E-03
   1.68326974       2.76106834       18.0000000       4.89190006       1.09136719E-02   7.58247450E-03
   1.71650231       2.76919556       18.0000000       4.90630007       9.24838986E-03   6.42593065E-03
   1.74989676       2.77709746       18.0000000       4.92030001       7.87879620E-03   5.47462562E-03
   1.78316355       2.78471732       18.0000000       4.93380022       6.75491896E-03   4.69388021E-03
   1.81649160       2.79211116       18.0000000       4.94689989       5.82140591E-03   4.04532254E-03
   1.84983635       2.79927897       18.0000000       4.95959997       5.04260091E-03   3.50414752E-03
   1.88314784       2.80622149       18.0000000       4.97189999       4.39011166E-03   3.05070262E-03
   1.91665649       2.81299448       18.0000000       4.98390007       3.83689976E-03   2.66622845E-03
   1.94974780       2.81948519       18.0000000       4.99539995       3.37380799E-03   2.34430702E-03
   1.98324072       2.82586312       18.0000000       5.00670004       2.97451089E-03   2.06671027E-03
   2.01650596       2.83201528       18.0000000       5.01760006       2.63522775E-03   1.83079892E-03
   2.04979873       2.83799815       18.0000000       5.02820015       2.34328746E-03   1.62779016E-03
   2.08307743       2.84381151       18.0000000       5.03849983       2.09134235E-03   1.45258463E-03
   2.11663985       2.84951234       18.0000000       5.04860020       1.87119108E-03   1.29945984E-03
   2.14977312       2.85498691       18.0000000       5.05830002       1.68210198E-03   1.16792461E-03
   2.18311620       2.86034894       18.0000000       5.06780005       1.51585205E-03   1.05226308E-03
   2.21664762       2.86559796       18.0000000       5.07709980       1.36938016E-03   9.50347050E-04
   2.24997234       2.87067795       18.0000000       5.08610010       1.24140584E-03   8.61293986E-04
   2.28303432       2.87558818       18.0000000       5.09480000       1.12932629E-03   7.83293683E-04
   2.31657076       2.88044238       18.0000000       5.10340023       1.02868862E-03   7.13255489E-04
   2.34977198       2.88512683       18.0000000       5.11170006       9.40256577E-04   6.51694543E-04
   2.38299632       2.88969874       18.0000000       5.11980009       8.61440320E-04   5.96823171E-04
