 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   15.7300  13.1390  10.0000   1.2916   6.2798  0.56194E-02  0.00000E+00  0.56194E-02  0.32905E-02  0.24211E-07  0.32904E-02  0.00000E+00  0.10000E+01
   15.7300  13.1210  10.0000   1.2809   6.2712  0.66532E-02  0.00000E+00  0.66532E-02  0.38891E-02  0.24491E-07  0.38891E-02  0.00000E+00  0.10000E+01
   15.7300  13.1020  10.0000   1.2698   6.2621  0.79761E-02  0.00000E+00  0.79761E-02  0.46536E-02  0.24851E-07  0.46535E-02  0.00000E+00  0.10000E+01
   15.7300  13.0830  10.0000   1.2588   6.2530  0.95928E-02  0.00000E+00  0.95928E-02  0.55858E-02  0.25285E-07  0.55858E-02  0.00000E+00  0.10000E+01
   15.7300  13.0650  10.0000   1.2486   6.2444  0.11460E-01  0.00000E+00  0.11460E-01  0.66603E-02  0.25768E-07  0.66603E-02  0.00000E+00  0.10000E+01
   15.7300  13.0460  10.0000   1.2380   6.2353  0.13870E-01  0.00000E+00  0.13870E-01  0.80446E-02  0.26360E-07  0.80446E-02  0.00000E+00  0.10000E+01
   15.7300  13.0270  10.0000   1.2275   6.2262  0.16842E-01  0.00000E+00  0.16842E-01  0.97484E-02  0.27047E-07  0.97484E-02  0.00000E+00  0.10000E+01
   15.7300  13.0090  10.0000   1.2177   6.2176  0.20307E-01  0.00000E+00  0.20307E-01  0.11730E-01  0.27791E-07  0.11730E-01  0.00000E+00  0.10000E+01
   15.7300  12.9900  10.0000   1.2075   6.2085  0.24821E-01  0.00000E+00  0.24821E-01  0.14308E-01  0.28684E-07  0.14308E-01  0.00000E+00  0.10000E+01
   15.7300  12.9720  10.0000   1.1979   6.1999  0.30116E-01  0.00000E+00  0.30116E-01  0.17326E-01  0.29640E-07  0.17326E-01  0.00000E+00  0.10000E+01
   15.7300  12.9530  10.0000   1.1880   6.1909  0.37066E-01  0.00000E+00  0.37066E-01  0.21277E-01  0.30772E-07  0.21277E-01  0.00000E+00  0.10000E+01
   15.7300  12.9340  10.0000   1.1782   6.1818  0.45791E-01  0.00000E+00  0.45791E-01  0.26228E-01  0.32046E-07  0.26228E-01  0.00000E+00  0.10000E+01
   15.7300  12.9150  10.0000   1.1685   6.1727  0.56791E-01  0.00000E+00  0.56791E-01  0.32455E-01  0.33461E-07  0.32455E-01  0.00000E+00  0.10000E+01
   15.7300  12.8960  10.0000   1.1590   6.1636  0.70727E-01  0.00000E+00  0.70727E-01  0.40324E-01  0.35028E-07  0.40324E-01  0.00000E+00  0.10000E+01
   15.7300  12.8770  10.0000   1.1496   6.1545  0.88470E-01  0.00000E+00  0.88470E-01  0.50318E-01  0.36750E-07  0.50318E-01  0.00000E+00  0.10000E+01
   15.7300  12.8590  10.0000   1.1408   6.1459  0.10984E+00  0.00000E+00  0.10984E+00  0.62324E-01  0.38529E-07  0.62324E-01  0.00000E+00  0.10000E+01
   15.7300  12.8400  10.0000   1.1316   6.1369  0.13871E+00  0.00000E+00  0.13871E+00  0.78495E-01  0.40569E-07  0.78495E-01  0.00000E+00  0.10000E+01
   15.7300  12.8210  10.0000   1.1225   6.1278  0.17613E+00  0.00000E+00  0.17613E+00  0.99387E-01  0.42782E-07  0.99387E-01  0.00000E+00  0.10000E+01
   15.7300  12.8030  10.0000   1.1141   6.1192  0.22205E+00  0.00000E+00  0.22205E+00  0.12495E+00  0.45044E-07  0.12495E+00  0.00000E+00  0.10000E+01
   15.7300  12.7840  10.0000   1.1052   6.1101  0.28534E+00  0.00000E+00  0.28534E+00  0.16005E+00  0.47623E-07  0.16005E+00  0.00000E+00  0.10000E+01
   15.7300  12.7650  10.0000   1.0965   6.1010  0.36925E+00  0.00000E+00  0.36925E+00  0.20642E+00  0.50406E-07  0.20642E+00  0.00000E+00  0.10000E+01
   15.7300  12.7470  10.0000   1.0884   6.0924  0.47471E+00  0.00000E+00  0.47471E+00  0.26446E+00  0.53242E-07  0.26446E+00  0.00000E+00  0.10000E+01
   15.7300  12.7280  10.0000   1.0799   6.0833  0.62389E+00  0.00000E+00  0.62389E+00  0.34623E+00  0.56445E-07  0.34623E+00  0.00000E+00  0.10000E+01
   15.7300  12.7090  10.0000   1.0715   6.0742  0.82747E+00  0.00000E+00  0.82747E+00  0.45730E+00  0.59943E-07  0.45730E+00  0.00000E+00  0.10000E+01
   15.7300  12.6910  10.0000   1.0636   6.0656  0.10914E+01  0.00000E+00  0.10914E+01  0.60062E+00  0.63500E-07  0.60062E+00  0.00000E+00  0.10000E+01
   15.7300  12.6720  10.0000   1.0554   6.0566  0.14784E+01  0.00000E+00  0.14784E+01  0.80956E+00  0.67536E-07  0.80956E+00  0.00000E+00  0.10000E+01
   15.7300  12.6530  10.0000   1.0473   6.0475  0.20299E+01  0.00000E+00  0.20299E+01  0.11054E+01  0.71895E-07  0.11054E+01  0.00000E+00  0.10000E+01
   15.7300  12.6350  10.0000   1.0398   6.0389  0.27853E+01  0.00000E+00  0.27853E+01  0.15070E+01  0.76334E-07  0.15070E+01  0.00000E+00  0.10000E+01
   15.7300  12.6160  10.0000   1.0319   6.0298  0.39842E+01  0.00000E+00  0.39842E+01  0.21366E+01  0.81377E-07  0.21366E+01  0.00000E+00  0.10000E+01
   15.7300  12.5970  10.0000   1.0241   6.0207  0.59364E+01  0.00000E+00  0.59364E+01  0.31401E+01  0.86803E-07  0.31401E+01  0.00000E+00  0.10000E+01
   15.7300  12.5790  10.0000   1.0168   6.0121  0.93238E+01  0.00000E+00  0.93238E+01  0.48179E+01  0.92329E-07  0.48179E+01  0.00000E+00  0.10000E+01
   15.7300  12.5600  10.0000   1.0091   6.0030  0.18276E+02  0.00000E+00  0.18276E+02  0.89168E+01  0.98563E-07  0.89168E+01  0.00000E+00  0.10000E+01
   15.7300  12.5410  10.0000   1.0016   5.9939  0.10725E+03  0.00000E+00  0.10725E+03  0.36863E+02  0.10531E-06  0.36863E+02  0.00000E+00  0.10000E+01
   15.7300  12.5230  10.0000   0.9946   5.9853  0.31824E+02  0.00000E+00  0.31824E+02  0.15317E+03  0.11205E-06  0.15317E+03  0.00000E+00  0.10000E+01
   15.7300  12.5040  10.0000   0.9872   5.9763  0.13113E+02  0.00000E+00  0.13113E+02  0.60080E+02  0.11954E-06  0.60080E+02  0.00000E+00  0.10000E+01
   15.7300  12.4850  10.0000   0.9799   5.9672  0.78676E+01  0.00000E+00  0.78676E+01  0.38516E+02  0.12746E-06  0.38516E+02  0.00000E+00  0.10000E+01
   15.7300  12.4670  10.0000   0.9731   5.9586  0.54181E+01  0.00000E+00  0.54181E+01  0.29886E+02  0.13533E-06  0.29886E+02  0.00000E+00  0.10000E+01
   15.7300  12.4480  10.0000   0.9660   5.9495  0.38603E+01  0.00000E+00  0.38603E+01  0.22229E+02  0.14411E-06  0.22229E+02  0.00000E+00  0.10000E+01
   15.7300  12.4290  10.0000   0.9590   5.9404  0.28408E+01  0.00000E+00  0.28408E+01  0.17954E+02  0.15333E-06  0.17954E+02  0.00000E+00  0.10000E+01
   15.7300  12.4110  10.0000   0.9524   5.9318  0.21680E+01  0.00000E+00  0.21680E+01  0.15795E+02  0.16250E-06  0.15795E+02  0.00000E+00  0.10000E+01
   15.7300  12.3920  10.0000   0.9455   5.9227  0.16567E+01  0.00000E+00  0.16567E+01  0.13625E+02  0.17272E-06  0.13625E+02  0.00000E+00  0.10000E+01
   15.7300  12.3730  10.0000   0.9387   5.9137  0.12841E+01  0.00000E+00  0.12841E+01  0.11984E+02  0.18347E-06  0.11984E+02  0.00000E+00  0.10000E+01
   15.7300  12.3550  10.0000   0.9324   5.9050  0.10204E+01  0.00000E+00  0.10204E+01  0.11047E+02  0.19416E-06  0.11047E+02  0.00000E+00  0.10000E+01
   15.7300  12.3360  10.0000   0.9257   5.8960  0.80947E+00  0.00000E+00  0.80947E+00  0.96005E+01  0.20614E-06  0.96005E+01  0.00000E+00  0.10000E+01
   15.7300  12.3180  10.0000   0.9195   5.8874  0.65633E+00  0.00000E+00  0.65633E+00  0.93758E+01  0.21806E-06  0.93758E+01  0.00000E+00  0.10000E+01
   15.7300  12.2990  10.0000   0.9130   5.8783  0.53101E+00  0.00000E+00  0.53101E+00  0.91739E+01  0.23135E-06  0.91739E+01  0.00000E+00  0.10000E+01
   15.7300  12.2800  10.0000   0.9066   5.8692  0.43352E+00  0.00000E+00  0.43352E+00  0.76103E+01  0.24533E-06  0.76103E+01  0.00000E+00  0.10000E+01
   15.7300  12.2620  10.0000   0.9005   5.8606  0.36052E+00  0.00000E+00  0.36052E+00  0.72792E+01  0.25946E-06  0.72792E+01  0.00000E+00  0.10000E+01
   15.7300  12.2420  10.0000   0.8939   5.8510  0.29617E+00  0.00000E+00  0.29617E+00  0.70242E+01  0.27592E-06  0.70242E+01  0.00000E+00  0.10000E+01
   15.7300  12.2230  10.0000   0.8877   5.8420  0.24756E+00  0.00000E+00  0.24756E+00  0.71505E+01  0.29254E-06  0.71505E+01  0.00000E+00  0.10000E+01
   15.7300  12.2050  10.0000   0.8819   5.8334  0.21022E+00  0.00000E+00  0.21022E+00  0.62026E+01  0.30914E-06  0.62026E+01  0.00000E+00  0.10000E+01
   15.7300  12.1860  10.0000   0.8758   5.8243  0.17801E+00  0.00000E+00  0.17801E+00  0.62249E+01  0.32768E-06  0.62249E+01  0.00000E+00  0.10000E+01
   15.7300  12.1670  10.0000   0.8697   5.8152  0.15163E+00  0.00000E+00  0.15163E+00  0.56189E+01  0.34737E-06  0.56189E+01  0.00000E+00  0.10000E+01
   15.7300  12.1490  10.0000   0.8641   5.8066  0.13095E+00  0.00000E+00  0.13095E+00  0.61790E+02  0.36694E-06  0.61790E+02  0.00000E+00  0.10000E+01
   15.7300  12.1300  10.0000   0.8582   5.7975  0.11274E+00  0.00000E+00  0.11274E+00  0.50928E+01  0.38876E-06  0.50928E+01  0.00000E+00  0.10000E+01
   15.7300  12.1110  10.0000   0.8523   5.7884  0.97559E-01  0.00000E+00  0.97559E-01  0.48387E+01  0.41188E-06  0.48387E+01  0.00000E+00  0.10000E+01
   15.7300  12.0930  10.0000   0.8469   5.7798  0.85436E-01  0.00000E+00  0.85436E-01  0.49257E+01  0.43487E-06  0.49257E+01  0.00000E+00  0.10000E+01
   15.7300  12.0740  10.0000   0.8411   5.7707  0.74595E-01  0.00000E+00  0.74595E-01  0.11545E+02  0.46057E-06  0.11545E+02  0.00000E+00  0.10000E+01
   15.7300  12.0550  10.0000   0.8355   5.7617  0.65404E-01  0.00000E+00  0.65404E-01  0.42157E+01  0.48754E-06  0.42157E+01  0.00000E+00  0.10000E+01
   15.7300  12.0370  10.0000   0.8302   5.7531  0.57959E-01  0.00000E+00  0.57959E-01  0.40797E+01  0.51446E-06  0.40797E+01  0.00000E+00  0.10000E+01
   15.7300  12.0180  10.0000   0.8246   5.7440  0.51208E-01  0.00000E+00  0.51208E-01  0.39948E+01  0.54436E-06  0.39948E+01  0.00000E+00  0.10000E+01
   15.7300  11.9990  10.0000   0.8191   5.7349  0.45408E-01  0.00000E+00  0.45408E-01  0.38428E+01  0.57570E-06  0.38428E+01  0.00000E+00  0.10000E+01
   15.7300  11.9810  10.0000   0.8139   5.7263  0.40650E-01  0.00000E+00  0.40650E-01  0.40550E+01  0.60684E-06  0.40550E+01  0.00000E+00  0.10000E+01
   15.7300  11.9620  10.0000   0.8086   5.7172  0.36284E-01  0.00000E+00  0.36284E-01  0.37650E+01  0.64139E-06  0.37650E+01  0.00000E+00  0.10000E+01
