 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
   1.29155612       6.27976036       10.0000000       13.1389999       5.61937736E-03   3.29047232E-03
   1.28088844       6.27115726       10.0000000       13.1210003       6.65319059E-03   3.88914417E-03
   1.26978624       6.26207590       10.0000000       13.1020002       7.97611848E-03   4.65355860E-03
   1.25884378       6.25299549       10.0000000       13.0830002       9.59279947E-03   5.58583299E-03
   1.24862063       6.24439192       10.0000000       13.0649996       1.14598470E-02   6.66033057E-03
   1.23797858       6.23531055       10.0000000       13.0459995       1.38700837E-02   8.04462563E-03
   1.22748673       6.22623014       10.0000000       13.0270004       1.68424547E-02   9.74843930E-03
   1.21768153       6.21762705       10.0000000       13.0089998       2.03066077E-02   1.17302826E-02
   1.20747149       6.20854568       10.0000000       12.9899998       2.48209219E-02   1.43077718E-02
   1.19792902       6.19994307       10.0000000       12.9720001       3.01164873E-02   1.73256584E-02
   1.18799019       6.19086170       10.0000000       12.9530001       3.70663516E-02   2.12774519E-02
   1.17818654       6.18178082       10.0000000       12.9340000       4.57909405E-02   2.62277815E-02
   1.16851509       6.17269945       10.0000000       12.9150000       5.67912944E-02   3.24546695E-02
   1.15897369       6.16361904       10.0000000       12.8959999       7.07265586E-02   4.03239392E-02
   1.14955902       6.15453768       10.0000000       12.8769999       8.84700045E-02   5.03181331E-02
   1.14075506       6.14593458       10.0000000       12.8590002      0.109844223       6.23244978E-02
   1.13158071       6.13685369       10.0000000       12.8400002      0.138713717       7.84950703E-02
   1.12252641       6.12777281       10.0000000       12.8210001      0.176129058       9.93871316E-02
   1.11405718       6.11916971       10.0000000       12.8030005      0.222048536      0.124945380    
   1.10522950       6.11008883       10.0000000       12.7840004      0.285344094      0.160050854    
   1.09651494       6.10100794       10.0000000       12.7650003      0.369249493      0.206415176    
   1.08836126       6.09240437       10.0000000       12.7469997      0.474710166      0.264462411    
   1.07986081       6.08332300       10.0000000       12.7279997      0.623891294      0.346227795    
   1.07146728       6.07424212       10.0000000       12.7089996      0.827472568      0.457300812    
   1.06361270       6.06563950       10.0000000       12.6910000       1.09143472      0.600615978    
   1.05542171       6.05655813       10.0000000       12.6719999       1.47837257      0.809559345    
   1.04733193       6.04747725       10.0000000       12.6529999       2.02993917       1.10537350    
   1.03975976       6.03887463       10.0000000       12.6350002       2.78529644       1.50704694    
   1.03186154       6.02979326       10.0000000       12.6160002       3.98421121       2.13659596    
   1.02405930       6.02071238       10.0000000       12.5970001       5.93638468       3.14007521    
   1.01675463       6.01210976       10.0000000       12.5790005       9.32378197       4.81786871    
   1.00913393       6.00302839       10.0000000       12.5600004       18.2759361       8.91682053    
   1.00160408       5.99394751       10.0000000       12.5410004       107.253418       36.8628769    
  0.994552672       5.98534441       10.0000000       12.5229998       31.8241558       153.169983    
  0.987194955       5.97626305       10.0000000       12.5039997       13.1129513       60.0804367    
  0.979923368       5.96718168       10.0000000       12.4849997       7.86756468       38.5163765    
  0.973112941       5.95857906       10.0000000       12.4670000       5.41814518       29.8858395    
  0.966005027       5.94949818       10.0000000       12.4480000       3.86026478       22.2288284    
  0.958978772       5.94041681       10.0000000       12.4289999       2.84081316       17.9543762    
  0.952396750       5.93181372       10.0000000       12.4110003       2.16795492       15.7953787    
  0.945526004       5.92273331       10.0000000       12.3920002       1.65672624       13.6253529    
  0.938732922       5.91365194       10.0000000       12.3730001       1.28408062       11.9844322    
  0.932367742       5.90504837       10.0000000       12.3549995       1.02038169       11.0471277    
  0.925722837       5.89596844       10.0000000       12.3360004      0.809468031       9.60054302    
  0.919495285       5.88736486       10.0000000       12.3179998      0.656330526       9.37579155    
  0.912992895       5.87828350       10.0000000       12.2989998      0.531005383       9.17386532    
  0.906562150       5.86920261       10.0000000       12.2799997      0.433515251       7.61029768    
  0.900534928       5.86059952       10.0000000       12.2620001      0.360516548       7.27917719    
  0.893910766       5.85104036       10.0000000       12.2419996      0.296166986       7.02423859    
  0.887687981       5.84195948       10.0000000       12.2229996      0.247563541       7.15050888    
  0.881854713       5.83335686       10.0000000       12.2049999      0.210221633       6.20255709    
  0.875761390       5.82427549       10.0000000       12.1859999      0.178005174       6.22491121    
  0.869733095       5.81519461       10.0000000       12.1669998      0.151634276       5.61892843    
  0.864081264       5.80659151       10.0000000       12.1490002      0.130946353       61.7902374    
  0.858176649       5.79751062       10.0000000       12.1300001      0.112743758       5.09278440    
  0.852333963       5.78842974       10.0000000       12.1110001       9.75590944E-02   4.83874798    
  0.846855223       5.77982664       10.0000000       12.0930004       8.54364112E-02   4.92570019    
  0.841130555       5.77074575       10.0000000       12.0740004       7.45945349E-02   11.5452480    
  0.835465074       5.76166487       10.0000000       12.0550003       6.54044971E-02   4.21572304    
  0.830151320       5.75306129       10.0000000       12.0369997       5.79594374E-02   4.07973003    
  0.824598491       5.74398041       10.0000000       12.0179996       5.12079336E-02   3.99479389    
  0.819102228       5.73489904       10.0000000       11.9989996       4.54079248E-02   3.84275174    
  0.813946664       5.72629595       10.0000000       11.9809999       4.06499058E-02   4.05503941    
  0.808558106       5.71721506       10.0000000       11.9619999       3.62840220E-02   3.76498580    
