 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9847  30.1188   0.5981   8.5342  0.29478E+00  0.29478E+00  0.61162E-05  0.27034E+00  0.22183E-05  0.12654E-02  0.26907E+00  0.10000E+01
   10.5890   3.0045  30.3375   0.6122   8.7131  0.25944E+00  0.25943E+00  0.62808E-05  0.23638E+00  0.17399E-05  0.10771E-02  0.23530E+00  0.10000E+01
   10.5890   3.0288  30.6280   0.6307   8.9485  0.21819E+00  0.21818E+00  0.65781E-05  0.19709E+00  0.12692E-05  0.87549E-03  0.19621E+00  0.10000E+01
   10.5890   3.0540  30.9251   0.6503   9.1946  0.18087E+00  0.18086E+00  0.70063E-05  0.16186E+00  0.91716E-06  0.70848E-03  0.16115E+00  0.10000E+01
   10.5890   3.0800  31.2092   0.6699   9.4398  0.14890E+00  0.14889E+00  0.74949E-05  0.13195E+00  0.66711E-06  0.57660E-03  0.13138E+00  0.10000E+01
   10.5890   3.0937  31.5749   0.6896   9.6996  0.12045E+00  0.12044E+00  0.81601E-05  0.10569E+00  0.48411E-06  0.46967E-03  0.10522E+00  0.10000E+01
   10.5890   3.1017  31.9796   0.7095   9.9690  0.95987E-01  0.95978E-01  0.89806E-05  0.83342E-01  0.35111E-06  0.38430E-03  0.82957E-01  0.10000E+01
   10.5890   3.1115  32.3569   0.7292  10.2315  0.76201E-01  0.76191E-01  0.99762E-05  0.65399E-01  0.25654E-06  0.31814E-03  0.65081E-01  0.10000E+01
   10.5890   3.1379  32.5938   0.7485  10.4659  0.61005E-01  0.60993E-01  0.11699E-04  0.51645E-01  0.18991E-06  0.26936E-03  0.51375E-01  0.10000E+01
   10.5890   3.1650  32.8263   0.7683  10.7032  0.48087E-01  0.48073E-01  0.14188E-04  0.40027E-01  0.13959E-06  0.23092E-03  0.39796E-01  0.10000E+01
   10.5890   3.1926  33.0188   0.7868  10.9200  0.38134E-01  0.38116E-01  0.17445E-04  0.31103E-01  0.10482E-06  0.20377E-03  0.30900E-01  0.10000E+01
   10.5890   3.2011  33.2778   0.8018  11.1167  0.30878E-01  0.30858E-01  0.20278E-04  0.24647E-01  0.82537E-07  0.18500E-03  0.24461E-01  0.10000E+01
