 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379619390       5.42006063       23.9167995       2.98060012       2.23210239       2.23939371    
  0.393196791       5.59347534       24.1882992       3.00830007       2.02116156       2.01328850    
  0.410978377       5.81951380       24.5356007       3.04320002       1.77308738       1.75031972    
  0.430238873       6.06285667       24.9006004       3.07960010       1.53665030       1.50254154    
  0.449691683       6.32364988       25.3731995       3.09540009       1.30696285       1.26707256    
  0.469476521       6.59781551       25.9071999       3.09999990       1.09723306       1.05506206    
  0.489259660       6.86656570       26.3952007       3.11010003      0.923833072      0.881011665    
  0.508215010       7.10122013       26.7071991       3.14299989      0.796767354      0.753220558    
  0.525817871       7.30968714       26.9382992       3.18099999      0.697316766      0.653747618    
  0.544424415       7.53483629       27.2152996       3.21379995      0.600655258      0.558351517    
