                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9914  26.2012  0.11300E+01  0.11386E+01  0.31585E-04  0.11318E+01  0.10965E+01  0.31654E-04  0.10891E+01
   10.5890   3.0186  26.4687  0.10073E+01  0.10093E+01  0.23500E-04  0.10037E+01  0.97047E+00  0.23537E-04  0.96435E+00
   10.5890   3.0500  26.8082  0.86853E+00  0.86435E+00  0.16321E-04  0.85994E+00  0.82951E+00  0.16333E-04  0.82470E+00
   10.5890   3.0814  27.1478  0.74369E+00  0.73499E+00  0.11304E-04  0.73153E+00  0.70399E+00  0.11303E-04  0.70021E+00
   10.5890   3.0964  27.5730  0.62788E+00  0.61654E+00  0.78838E-05  0.61382E+00  0.58947E+00  0.78776E-05  0.58651E+00
   10.5890   3.1009  28.0676  0.52163E+00  0.50897E+00  0.54579E-05  0.50684E+00  0.48579E+00  0.54502E-05  0.48346E+00
   10.5890   3.1111  28.5096  0.43466E+00  0.42139E+00  0.38226E-05  0.41970E+00  0.40147E+00  0.38149E-05  0.39964E+00
   10.5890   3.1404  28.8047  0.36772E+00  0.35404E+00  0.27309E-05  0.35269E+00  0.33665E+00  0.27234E-05  0.33518E+00
   10.5890   3.1783  29.0071  0.31504E+00  0.30127E+00  0.19967E-05  0.30016E+00  0.28589E+00  0.19898E-05  0.28469E+00
   10.5890   3.2006  29.2552  0.27098E+00  0.25761E+00  0.15122E-05  0.25668E+00  0.24404E+00  0.15061E-05  0.24303E+00
