 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.533968985       7.60576916       28.3295994       2.99860001      0.582433820      0.548027575    
  0.550913155       7.82024002       28.6082993       3.02460003      0.506806016      0.473253131    
  0.570354998       8.06635666       28.9286995       3.05250001      0.429996431      0.398083001    
  0.590082347       8.31545544       29.2499008       3.07949996      0.362159938      0.332375824    
  0.609846830       8.57486629       29.6308994       3.09619999      0.301074117      0.274026245    
  0.629580319       8.84607124       30.0804005       3.10150003      0.246948585      0.222961843    
  0.649068356       9.10905170       30.4902000       3.11039996      0.202742904      0.181538478    
  0.668721497       9.34771919       30.7472992       3.14000010      0.168214858      0.149197489    
  0.687991500       9.58326054       31.0095997       3.16619992      0.139073178      0.122144535    
  0.704467595       9.77904987       31.2042007       3.19169998      0.118013002      0.102699250    
  0.721326232       10.0130730       31.5849991       3.19169998       9.71799269E-02   8.37853849E-02
