 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9889  32.0228   0.6753   9.6317  0.13806E+00  0.13805E+00  0.68042E-05  0.12275E+00  0.59395E-06  0.52533E-03  0.12222E+00  0.10000E+01
   10.5890   3.0075  32.2642   0.6912   9.8345  0.11750E+00  0.11750E+00  0.73060E-05  0.10364E+00  0.45954E-06  0.44562E-03  0.10319E+00  0.10000E+01
   10.5890   3.0307  32.5428   0.7105  10.0776  0.96238E-01  0.96230E-01  0.82477E-05  0.83989E-01  0.33816E-06  0.36805E-03  0.83621E-01  0.10000E+01
   10.5890   3.0539  32.8223   0.7302  10.3251  0.77950E-01  0.77941E-01  0.93432E-05  0.67212E-01  0.24774E-06  0.30614E-03  0.66906E-01  0.10000E+01
   10.5890   3.0763  33.1006   0.7500  10.5730  0.62584E-01  0.62573E-01  0.10869E-04  0.53213E-01  0.18178E-06  0.25652E-03  0.52956E-01  0.10000E+01
   10.5890   3.0926  33.4184   0.7697  10.8282  0.49541E-01  0.49528E-01  0.13030E-04  0.41420E-01  0.13299E-06  0.21748E-03  0.41202E-01  0.10000E+01
   10.5890   3.1022  33.7810   0.7895  11.0919  0.38576E-01  0.38561E-01  0.15280E-04  0.31565E-01  0.97146E-07  0.18688E-03  0.31378E-01  0.10000E+01
   10.5890   3.1124  34.1319   0.8092  11.3539  0.29640E-01  0.29620E-01  0.19512E-04  0.23501E-01  0.70964E-07  0.16461E-03  0.23336E-01  0.10000E+01
   10.5890   3.1341  34.3821   0.8289  11.5962  0.22606E-01  0.22581E-01  0.24968E-04  0.16896E-01  0.52203E-07  0.15010E-03  0.16746E-01  0.10000E+01
   10.5890   3.1609  34.5773   0.8483  11.8245  0.32859E-04  0.00000E+00  0.32859E-04  0.14274E-03  0.38737E-07  0.14270E-03  0.00000E+00  0.10000E+01
