 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9430  28.2581   0.5177   7.4279  0.85384E+00  0.85382E+00  0.14819E-04  0.80765E+00  0.25710E-05  0.36799E-02  0.80397E+00  0.10013E+01
   10.5890   2.9970  28.3330   0.5337   7.6035  0.76540E+00  0.76537E+00  0.20551E-04  0.71820E+00  0.17483E-05  0.30367E-02  0.71516E+00  0.10013E+01
   10.5890   3.0240  28.6144   0.5510   7.8220  0.66158E+00  0.66155E+00  0.26372E-04  0.61612E+00  0.12120E-05  0.24691E-02  0.61365E+00  0.10014E+01
   10.5890   3.0516  28.9326   0.5703   8.0661  0.55949E+00  0.55946E+00  0.33072E-04  0.51679E+00  0.86619E-06  0.19693E-02  0.51482E+00  0.10015E+01
   10.5890   3.0794  29.2506   0.5901   8.3156  0.46900E+00  0.46896E+00  0.40227E-04  0.42958E+00  0.65385E-06  0.15760E-02  0.42800E+00  0.10016E+01
   10.5890   3.0955  29.6291   0.6096   8.5719  0.38909E+00  0.38904E+00  0.46852E-04  0.35360E+00  0.51580E-06  0.12709E-02  0.35233E+00  0.10017E+01
   10.5890   3.0993  30.0927   0.6295   8.8469  0.31703E+00  0.31698E+00  0.52819E-04  0.28592E+00  0.41318E-06  0.10240E-02  0.28489E+00  0.10018E+01
   10.5890   3.1101  30.4936   0.6491   9.1102  0.25928E+00  0.25922E+00  0.59220E-04  0.23197E+00  0.33528E-06  0.83732E-03  0.23113E+00  0.10019E+01
   10.5890   3.1362  30.7733   0.6687   9.3518  0.21413E+00  0.21406E+00  0.67045E-04  0.18988E+00  0.27346E-06  0.69768E-03  0.18918E+00  0.10020E+01
   10.5890   3.1706  30.9778   0.6880   9.5774  0.17784E+00  0.17776E+00  0.76101E-04  0.15619E+00  0.22294E-06  0.59376E-03  0.15559E+00  0.10021E+01
   10.5890   3.1968  31.1818   0.7051   9.7810  0.14979E+00  0.14971E+00  0.84286E-04  0.13036E+00  0.18504E-06  0.52029E-03  0.12984E+00  0.10022E+01
   10.5890   3.2105  31.4849   0.7229  10.0099  0.12338E+00  0.12329E+00  0.91786E-04  0.10630E+00  0.14931E-06  0.45510E-03  0.10585E+00  0.10024E+01
