                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9858  30.1097  0.40088E+00  0.38584E+00  0.57761E-06  0.38454E+00  0.36725E+00  0.57748E-06  0.36586E+00
   10.5890   3.0037  30.3323  0.35300E+00  0.33822E+00  0.49224E-06  0.33710E+00  0.32153E+00  0.49201E-06  0.32033E+00
   10.5890   3.0287  30.6300  0.29500E+00  0.28086E+00  0.40045E-06  0.27995E+00  0.26655E+00  0.40015E-06  0.26557E+00
   10.5890   3.0542  30.9243  0.24454E+00  0.23128E+00  0.32674E-06  0.23053E+00  0.21910E+00  0.32641E-06  0.21829E+00
   10.5890   3.0787  31.2212  0.20120E+00  0.18897E+00  0.26569E-06  0.18835E+00  0.17868E+00  0.26535E-06  0.17801E+00
   10.5890   3.0956  31.5628  0.16391E+00  0.15283E+00  0.21438E-06  0.15231E+00  0.14422E+00  0.21403E-06  0.14366E+00
   10.5890   3.1017  31.9801  0.13148E+00  0.12165E+00  0.17032E-06  0.12121E+00  0.11457E+00  0.17001E-06  0.11409E+00
   10.5890   3.1120  32.3583  0.10533E+00  0.96602E-01  0.13375E-06  0.96222E-01  0.90753E-01  0.13348E-06  0.90349E-01
   10.5890   3.1374  32.6053  0.85397E-01  0.77501E-01  0.10458E-06  0.77164E-01  0.72587E-01  0.10434E-06  0.72230E-01
   10.5890   3.1650  32.8303  0.68829E-01  0.61653E-01  0.80592E-07  0.61347E-01  0.57519E-01  0.80379E-07  0.57198E-01
   10.5890   3.1902  33.0292  0.56131E-01  0.49505E-01  0.62854E-07  0.49220E-01  0.45968E-01  0.62671E-07  0.45670E-01
   10.5890   3.2095  33.2748  0.44940E-01  0.38770E-01  0.48242E-07  0.38501E-01  0.35752E-01  0.48089E-07  0.35473E-01
