 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675457716       9.63391399       32.0287018       2.98850012      0.175782397      0.156236455    
  0.691162884       9.83327007       32.2621994       3.00749993      0.149792716      0.132134095    
  0.710459709       10.0771446       32.5432014       3.03049994      0.122553669      0.107022144    
  0.730167806       10.3261280       32.8301010       3.05279994       9.92769599E-02   8.56987238E-02
  0.749951780       10.5734062       33.1035004       3.07590008       7.99810886E-02   6.81046471E-02
  0.769645751       10.8275251       33.4194984       3.09220004       6.37346879E-02   5.33825830E-02
  0.789550602       11.0989571       33.8156013       3.09800005       4.98055071E-02   4.08277027E-02
  0.809208095       11.3567629       34.1487999       3.11019993       3.88509221E-02   3.08486614E-02
  0.828676879       11.5903416       34.3641014       3.13569999       3.03065237E-02   2.26697233E-02
  0.848866999       11.8373690       34.6137009       3.15790009       1.36118266E-04   2.28422738E-04
