                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5900   3.1295  14.4611  0.38268E+02  0.45932E+02  0.16266E+00  0.44598E+02  0.45894E+02  0.16351E+00  0.44483E+02
   10.5900   3.1295  14.9380  0.33364E+02  0.39690E+02  0.11737E+00  0.38633E+02  0.39576E+02  0.11797E+00  0.38457E+02
   10.5900   3.1295  15.4005  0.29261E+02  0.34518E+02  0.85283E-01  0.33672E+02  0.34353E+02  0.85699E-01  0.33457E+02
   10.5900   3.1295  15.8498  0.25798E+02  0.30192E+02  0.62334E-01  0.29511E+02  0.29993E+02  0.62626E-01  0.29271E+02
   10.5900   3.1295  16.2871  0.22848E+02  0.26533E+02  0.45786E-01  0.25980E+02  0.26313E+02  0.45991E-01  0.25727E+02
   10.5900   3.1295  16.7132  0.20317E+02  0.23424E+02  0.33779E-01  0.22972E+02  0.23191E+02  0.33924E-01  0.22712E+02
   10.5900   3.1295  17.1290  0.18130E+02  0.20755E+02  0.25013E-01  0.20384E+02  0.20517E+02  0.25116E-01  0.20124E+02
   10.5900   3.1295  17.5352  0.16230E+02  0.18456E+02  0.18580E-01  0.18149E+02  0.18217E+02  0.18653E-01  0.17892E+02
   10.5900   3.1295  17.9325  0.14570E+02  0.16461E+02  0.13837E-01  0.16207E+02  0.16224E+02  0.13890E-01  0.15955E+02
   10.5900   3.1295  18.3215  0.13111E+02  0.14723E+02  0.10327E-01  0.14511E+02  0.14491E+02  0.10364E-01  0.14267E+02
   10.5900   3.1295  18.7026  0.11825E+02  0.13199E+02  0.77207E-02  0.13021E+02  0.12973E+02  0.77479E-02  0.12785E+02
   10.5900   3.1295  19.0764  0.10686E+02  0.11858E+02  0.57801E-02  0.11709E+02  0.11641E+02  0.57996E-02  0.11483E+02
