                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9884  32.0297  0.17073E+00  0.16349E+00  0.24421E-06  0.16293E+00  0.15464E+00  0.24393E-06  0.15404E+00
   10.5890   3.0075  32.2637  0.14518E+00  0.13840E+00  0.20547E-06  0.13791E+00  0.13074E+00  0.20518E-06  0.13022E+00
   10.5890   3.0304  32.5436  0.11861E+00  0.11246E+00  0.16493E-06  0.11204E+00  0.10608E+00  0.16465E-06  0.10564E+00
   10.5890   3.0531  32.8277  0.95867E-01  0.90403E-01  0.12998E-06  0.90040E-01  0.85147E-01  0.12972E-06  0.84762E-01
   10.5890   3.0754  33.1077  0.77025E-01  0.72245E-01  0.10091E-06  0.71926E-01  0.67942E-01  0.10068E-06  0.67605E-01
   10.5890   3.0920  33.4216  0.61369E-01  0.57245E-01  0.77221E-07  0.56960E-01  0.53755E-01  0.77021E-07  0.53455E-01
   10.5890   3.0982  33.8133  0.48149E-01  0.44669E-01  0.58056E-07  0.44411E-01  0.41883E-01  0.57891E-07  0.41614E-01
   10.5890   3.1108  34.1437  0.37895E-01  0.34946E-01  0.43443E-07  0.34707E-01  0.32713E-01  0.43309E-07  0.32464E-01
   10.5890   3.1354  34.3666  0.30075E-01  0.27548E-01  0.32546E-07  0.27319E-01  0.25737E-01  0.32435E-07  0.25501E-01
   10.5890   3.1497  34.5743  0.24934E-01  0.22707E-01  0.25868E-07  0.22483E-01  0.21179E-01  0.25775E-07  0.20950E-01
