                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9909  26.2120  0.15494E+01  0.15828E+01  0.16082E-04  0.15752E+01  0.15255E+01  0.16104E-04  0.15173E+01
   10.5890   3.0169  26.4745  0.13814E+01  0.14026E+01  0.10232E-04  0.13964E+01  0.13498E+01  0.10243E-04  0.13430E+01
   10.5890   3.0495  26.8083  0.11870E+01  0.11962E+01  0.57536E-05  0.11913E+01  0.11489E+01  0.57580E-05  0.11436E+01
   10.5890   3.0800  27.1545  0.10109E+01  0.10112E+01  0.32840E-05  0.10074E+01  0.96932E+00  0.32853E-05  0.96518E+00
   10.5890   3.0951  27.5835  0.84802E+00  0.84259E+00  0.19751E-05  0.83957E+00  0.80627E+00  0.19751E-05  0.80302E+00
   10.5890   3.1007  28.0653  0.70271E+00  0.69370E+00  0.12758E-05  0.69132E+00  0.66272E+00  0.12755E-05  0.66016E+00
   10.5890   3.1104  28.5114  0.58177E+00  0.57073E+00  0.89425E-06  0.56884E+00  0.54436E+00  0.89382E-06  0.54233E+00
   10.5890   3.1415  28.7931  0.49048E+00  0.47809E+00  0.67823E-06  0.47657E+00  0.45519E+00  0.67770E-06  0.45356E+00
   10.5890   3.1733  29.0439  0.41457E+00  0.40155E+00  0.54078E-06  0.40031E+00  0.38168E+00  0.54017E-06  0.38034E+00
   10.5890   3.2017  29.2442  0.35784E+00  0.34479E+00  0.45369E-06  0.34372E+00  0.32725E+00  0.45305E-06  0.32611E+00
