EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin9.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=122

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.215  6.51    1.22    2.09    0.55    0.00    2.63  0.825
   2.990  0.457  8.63    1.29   -1.71    0.58    0.00   -1.13 1.868E+00

  10.589 26.477  6.70    1.15    1.49    0.50    0.00    1.99  0.823
   3.017  0.472  8.39    1.21   -2.43    0.53    0.00   -1.90 1.674E+00

  10.589 26.815  6.94    1.07    0.75    0.46    0.00    1.21  0.821
   3.048  0.491  8.09    1.12   -3.33    0.49    0.00   -2.84 1.451E+00

  10.589 27.152  7.19    0.99    0.01    0.42    0.00    0.43  0.820
   3.080  0.510  7.78    1.04   -4.22    0.44    0.00   -3.78 1.248E+00

  10.589 27.582  7.45    0.93   -0.66    0.39    0.00   -0.27  0.820
   3.095  0.530  7.49    0.98   -5.03    0.41    0.00   -4.61 1.056E+00

  10.589 28.071  7.72    0.89   -1.32    0.37    0.00   -0.95  0.822
   3.100  0.550  7.21    0.93   -5.81    0.39    0.00   -5.42 8.816E-01

  10.589 28.508  7.99    0.84   -1.95    0.35    0.00   -1.60  0.825
   3.111  0.569  6.93    0.88   -6.57    0.37    0.00   -6.20 7.382E-01

  10.589 28.802  8.23    0.79   -2.60    0.33    0.00   -2.26  0.832
   3.140  0.589  6.63    0.83   -7.36    0.35    0.00   -7.00 6.268E-01

  10.589 29.035  8.45    0.75   -3.24    0.32    0.00   -2.92  0.843
   3.175  0.607  6.34    0.78   -8.13    0.34    0.00   -7.79 5.358E-01

  10.589 29.272  8.65    0.72   -3.77    0.32    0.00   -3.45  0.856
   3.198  0.624  6.10    0.75   -8.77    0.34    0.00   -8.43 4.633E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

