                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9977  28.3373  0.57515E+00  0.57456E+00  0.70969E-05  0.57203E+00  0.55072E+00  0.70930E-05  0.54800E+00
   10.5890   3.0230  28.6193  0.50075E+00  0.49712E+00  0.52248E-05  0.49505E+00  0.47570E+00  0.52185E-05  0.47349E+00
   10.5890   3.0513  28.9360  0.42548E+00  0.41941E+00  0.36985E-05  0.41776E+00  0.40060E+00  0.36914E-05  0.39883E+00
   10.5890   3.0791  29.2539  0.35856E+00  0.35099E+00  0.26205E-05  0.34968E+00  0.33462E+00  0.26135E-05  0.33321E+00
   10.5890   3.0951  29.6371  0.29838E+00  0.29018E+00  0.18637E-05  0.28914E+00  0.27617E+00  0.18576E-05  0.27505E+00
   10.5890   3.1009  30.0824  0.24492E+00  0.23674E+00  0.13274E-05  0.23590E+00  0.22495E+00  0.13224E-05  0.22405E+00
   10.5890   3.1098  30.4965  0.20058E+00  0.19269E+00  0.95334E-06  0.19202E+00  0.18280E+00  0.94921E-06  0.18207E+00
   10.5890   3.1393  30.7539  0.16625E+00  0.15868E+00  0.69408E-06  0.15813E+00  0.15026E+00  0.69131E-06  0.14967E+00
   10.5890   3.1665  31.0056  0.13751E+00  0.13042E+00  0.51087E-06  0.12997E+00  0.12328E+00  0.50860E-06  0.12280E+00
   10.5890   3.1914  31.2130  0.11584E+00  0.10926E+00  0.39175E-06  0.10887E+00  0.10312E+00  0.38984E-06  0.10270E+00
   10.5890   3.1917  31.5850  0.95396E-01  0.89541E-01  0.29997E-06  0.89215E-01  0.84401E-01  0.29842E-06  0.84048E-01
