 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9966  28.3361   0.5337   7.6041  0.74970E+00  0.74968E+00  0.20544E-04  0.71579E+00  0.17474E-05  0.30341E-02  0.71275E+00  0.10013E+01
   10.5890   3.0235  28.6191   0.5510   7.8232  0.64749E+00  0.64747E+00  0.26368E-04  0.61340E+00  0.12106E-05  0.24659E-02  0.61094E+00  0.10014E+01
   10.5890   3.0514  28.9356   0.5703   8.0672  0.54743E+00  0.54739E+00  0.33081E-04  0.51437E+00  0.86525E-06  0.19666E-02  0.51240E+00  0.10015E+01
   10.5890   3.0791  29.2543   0.5901   8.3168  0.45869E+00  0.45865E+00  0.40230E-04  0.42745E+00  0.65323E-06  0.15738E-02  0.42588E+00  0.10016E+01
   10.5890   3.0951  29.6331   0.6096   8.5731  0.38040E+00  0.38036E+00  0.46841E-04  0.35186E+00  0.51543E-06  0.12693E-02  0.35059E+00  0.10017E+01
   10.5890   3.0992  30.0948   0.6295   8.8478  0.30972E+00  0.30967E+00  0.52828E-04  0.28448E+00  0.41290E-06  0.10229E-02  0.28346E+00  0.10018E+01
   10.5890   3.1097  30.4985   0.6492   9.1118  0.25286E+00  0.25280E+00  0.59212E-04  0.23064E+00  0.33493E-06  0.83603E-03  0.22981E+00  0.10019E+01
   10.5890   3.1369  30.7701   0.6688   9.3520  0.20874E+00  0.20867E+00  0.67129E-04  0.18901E+00  0.27327E-06  0.69711E-03  0.18831E+00  0.10021E+01
   10.5890   3.1698  30.9818   0.6879   9.5774  0.17313E+00  0.17305E+00  0.75996E-04  0.15564E+00  0.22307E-06  0.59363E-03  0.15504E+00  0.10022E+01
   10.5890   3.1953  31.1961   0.7052   9.7851  0.14507E+00  0.14498E+00  0.84166E-04  0.12960E+00  0.18402E-06  0.51890E-03  0.12908E+00  0.10023E+01
   10.5890   3.2096  31.4958   0.7231  10.0139  0.11920E+00  0.11911E+00  0.91741E-04  0.10586E+00  0.14890E-06  0.45397E-03  0.10540E+00  0.10024E+01
