 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9844  30.1204   0.5980   8.5342  0.31493E+00  0.31493E+00  0.61147E-05  0.29410E+00  0.22188E-05  0.12500E-02  0.29285E+00  0.10000E+01
   10.5890   3.0041  30.3394   0.6121   8.7130  0.27818E+00  0.27817E+00  0.62792E-05  0.25811E+00  0.17408E-05  0.10641E-02  0.25704E+00  0.10000E+01
   10.5890   3.0282  30.6308   0.6307   8.9483  0.23518E+00  0.23517E+00  0.65756E-05  0.21637E+00  0.12704E-05  0.86537E-03  0.21550E+00  0.10000E+01
   10.5890   3.0539  30.9253   0.6502   9.1944  0.19611E+00  0.19611E+00  0.70064E-05  0.17881E+00  0.91750E-06  0.70003E-03  0.17811E+00  0.10000E+01
   10.5890   3.0802  31.2088   0.6700   9.4401  0.16242E+00  0.16241E+00  0.74948E-05  0.14673E+00  0.66662E-06  0.56953E-03  0.14616E+00  0.10000E+01
   10.5890   3.0935  31.5763   0.6896   9.6998  0.13230E+00  0.13230E+00  0.81581E-05  0.11845E+00  0.48409E-06  0.46402E-03  0.11799E+00  0.10000E+01
   10.5890   3.1014  31.9830   0.7096   9.9701  0.10609E+00  0.10608E+00  0.89745E-05  0.94107E-01  0.35078E-06  0.37950E-03  0.93727E-01  0.10000E+01
   10.5890   3.1103  32.3666   0.7292  10.2335  0.84715E-01  0.84705E-01  0.99591E-05  0.74442E-01  0.25633E-06  0.31420E-03  0.74128E-01  0.10000E+01
   10.5890   3.1373  32.6000   0.7486  10.4677  0.68172E-01  0.68160E-01  0.11685E-04  0.59288E-01  0.18965E-06  0.26605E-03  0.59021E-01  0.10000E+01
   10.5890   3.1642  32.8332   0.7683  10.7049  0.53948E-01  0.53934E-01  0.14170E-04  0.46402E-01  0.13947E-06  0.22819E-03  0.46173E-01  0.10000E+01
   10.5890   3.1905  33.0315   0.7866  10.9210  0.42893E-01  0.42876E-01  0.17411E-04  0.36496E-01  0.10500E-06  0.20167E-03  0.36294E-01  0.10000E+01
   10.5890   3.2026  33.3025   0.8035  11.1379  0.33847E-01  0.33826E-01  0.20548E-04  0.28507E-01  0.80395E-07  0.18110E-03  0.28326E-01  0.10000E+01
