 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.456666768       6.51180077       26.2108994       2.99029994       1.17876887       1.16837573      0.99118304252624512     
  0.471665829       6.70116186       26.4715996       3.01799989       1.05421579       1.03661454      0.98330396413803101     
  0.490686566       6.94239235       26.8104992       3.04949999      0.911185563      0.887390018      0.97388505935668945     
  0.510281146       7.19032097       27.1555996       3.08010006      0.781547368      0.753935337      0.96467006206512451     
  0.529735088       7.44814157       27.5729008       3.09649992      0.662149310      0.633245945      0.95634919404983521     
  0.549601555       7.72385693       28.0727005       3.09999990      0.551633835      0.523186386      0.94843053817749023     
  0.569332898       7.99068213       28.5175991       3.10980010      0.461124510      0.433680981      0.94048565626144409     
  0.588689566       8.22866344       28.8043003       3.14030004      0.392139345      0.365536392      0.93215942382812500     
  0.607146680       8.44449902       29.0137005       3.17729998      0.337051898      0.311457425      0.92406368255615234     
  0.623717785       8.64840984       29.2630005       3.20000005      0.290793836      0.266704530      0.91716021299362183     
