 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9973  28.3438   0.5342   7.6099  0.95407E+00  0.95404E+00  0.29297E-04  0.91147E+00  0.17289E-05  0.40557E-02  0.90742E+00  0.10012E+01
   10.5890   3.0235  28.6176   0.5510   7.8224  0.83329E+00  0.83325E+00  0.37347E-04  0.78983E+00  0.12118E-05  0.33289E-02  0.78650E+00  0.10013E+01
   10.5890   3.0511  28.9390   0.5704   8.0683  0.70946E+00  0.70941E+00  0.46940E-04  0.66655E+00  0.86433E-06  0.26622E-02  0.66388E+00  0.10014E+01
   10.5890   3.0802  29.2475   0.5902   8.3160  0.60064E+00  0.60058E+00  0.57235E-04  0.55925E+00  0.65305E-06  0.21413E-02  0.55711E+00  0.10015E+01
   10.5890   3.0957  29.6315   0.6097   8.5738  0.50221E+00  0.50214E+00  0.66689E-04  0.46366E+00  0.51481E-06  0.17325E-02  0.46192E+00  0.10016E+01
   10.5890   3.1007  30.0844   0.6295   8.8461  0.41363E+00  0.41355E+00  0.75325E-04  0.37877E+00  0.41296E-06  0.14042E-02  0.37736E+00  0.10017E+01
   10.5890   3.1092  30.5059   0.6494   9.1147  0.33975E+00  0.33966E+00  0.84328E-04  0.30850E+00  0.33426E-06  0.11492E-02  0.30735E+00  0.10018E+01
   10.5890   3.1377  30.7623   0.6687   9.3498  0.28384E+00  0.28375E+00  0.95718E-04  0.25541E+00  0.27354E-06  0.96520E-03  0.25444E+00  0.10020E+01
   10.5890   3.1688  30.9878   0.6879   9.5780  0.23652E+00  0.23641E+00  0.10818E-03  0.21087E+00  0.22309E-06  0.82399E-03  0.21004E+00  0.10021E+01
   10.5890   3.1951  31.2017   0.7054   9.7879  0.19861E+00  0.19849E+00  0.12009E-03  0.17555E+00  0.18357E-06  0.72164E-03  0.17483E+00  0.10022E+01
   10.5890   3.2057  31.5123   0.7226  10.0119  0.16431E+00  0.16418E+00  0.12997E-03  0.14406E+00  0.14965E-06  0.63514E-03  0.14342E+00  0.10024E+01
