 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.199552804       2.80480146       16.8075008       3.09999990       15.0373764       17.2700176    
  0.218170479       3.06648088       17.5799999       3.09999990       12.2320786       13.8299627    
  0.258231670       3.62955856       19.1399994       3.09999990       8.14990330       8.91607475    
  0.298115522       4.19014311       20.5799999       3.09999990       5.50410461       5.86605453    
  0.338015705       4.75095797       21.9300003       3.09999990       3.74376154       3.91562033    
  0.378069222       5.31392717       23.2099991       3.09999990       2.62012219       2.68134570    
  0.458223403       6.44052887       25.5900002       3.09999990       1.27032387       1.25452006    
  0.538023770       7.56215763       27.7700005       3.09999990      0.608742177      0.581712008    
  0.618120492       8.68795204       29.8099995       3.09999990      0.277995437      0.257637352    
  0.698201001       9.81351852       31.7299995       3.09999990      0.119497001      0.107546046    
  0.778230608       10.9383698       33.5499992       3.09999990       4.74954657E-02   4.15650196E-02
  0.818133950       11.8062830       36.1199989       2.90000010       2.42343284E-02   2.31167879E-02
