                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5900   2.9760  15.0717  0.13897E+03  0.16846E+03  0.41218E+00  0.16334E+03  0.16899E+03  0.41291E+00  0.16366E+03
   10.5900   2.9760  15.1717  0.13521E+03  0.16359E+03  0.37830E+00  0.15870E+03  0.16407E+03  0.37897E+00  0.15898E+03
   10.5900   2.9760  15.2717  0.13156E+03  0.15887E+03  0.34705E+00  0.15421E+03  0.15930E+03  0.34765E+00  0.15445E+03
   10.5900   2.9760  15.3717  0.12802E+03  0.15431E+03  0.31821E+00  0.14986E+03  0.15469E+03  0.31876E+00  0.15007E+03
   10.5900   2.9760  15.4717  0.12458E+03  0.14987E+03  0.29163E+00  0.14563E+03  0.15022E+03  0.29212E+00  0.14580E+03
   10.5900   2.9760  15.5717  0.12125E+03  0.14559E+03  0.26712E+00  0.14154E+03  0.14589E+03  0.26757E+00  0.14168E+03
   10.5900   2.9760  15.6717  0.11801E+03  0.14145E+03  0.24455E+00  0.13758E+03  0.14171E+03  0.24495E+00  0.13769E+03
   10.5900   2.9760  15.7717  0.11487E+03  0.13743E+03  0.22375E+00  0.13374E+03  0.13766E+03  0.22412E+00  0.13382E+03
   10.5900   2.9760  15.8717  0.11182E+03  0.13354E+03  0.20461E+00  0.13001E+03  0.13373E+03  0.20495E+00  0.13007E+03
   10.5900   2.9760  15.9717  0.10886E+03  0.12977E+03  0.18701E+00  0.12640E+03  0.12992E+03  0.18731E+00  0.12643E+03
   10.5900   2.9760  16.0717  0.10599E+03  0.12610E+03  0.17081E+00  0.12289E+03  0.12623E+03  0.17108E+00  0.12290E+03
   10.5900   2.9760  16.1717  0.10320E+03  0.12255E+03  0.15592E+00  0.11949E+03  0.12265E+03  0.15617E+00  0.11946E+03
   10.5900   2.9760  16.2717  0.10048E+03  0.11912E+03  0.14225E+00  0.11619E+03  0.11921E+03  0.14246E+00  0.11616E+03
   10.5900   2.9760  16.3717  0.97847E+02  0.11579E+03  0.12968E+00  0.11300E+03  0.11584E+03  0.12988E+00  0.11293E+03
   10.5900   2.9760  16.4717  0.95287E+02  0.11255E+03  0.11816E+00  0.10988E+03  0.11257E+03  0.11833E+00  0.10979E+03
   10.5900   2.9760  16.5717  0.92799E+02  0.10942E+03  0.10758E+00  0.10687E+03  0.10941E+03  0.10774E+00  0.10676E+03
   10.5900   2.9760  16.6717  0.90381E+02  0.10637E+03  0.97885E-01  0.10393E+03  0.10635E+03  0.98026E-01  0.10381E+03
   10.5900   2.9760  16.7717  0.88031E+02  0.10343E+03  0.89001E-01  0.10110E+03  0.10339E+03  0.89128E-01  0.10097E+03
   10.5900   2.9760  16.8717  0.85746E+02  0.10057E+03  0.80866E-01  0.98346E+02  0.10051E+03  0.80979E-01  0.98193E+02
   10.5900   2.9760  16.9717  0.83525E+02  0.97795E+02  0.73420E-01  0.95667E+02  0.97710E+02  0.73521E-01  0.95500E+02
   10.5900   2.9760  17.0717  0.81365E+02  0.95098E+02  0.66610E-01  0.93065E+02  0.94996E+02  0.66700E-01  0.92884E+02
   10.5900   2.9760  17.1717  0.79265E+02  0.92483E+02  0.60386E-01  0.90539E+02  0.92363E+02  0.60466E-01  0.90345E+02
   10.5900   2.9760  17.2717  0.77222E+02  0.89948E+02  0.54699E-01  0.88090E+02  0.89813E+02  0.54770E-01  0.87883E+02
   10.5900   2.9760  17.3717  0.75235E+02  0.87479E+02  0.49509E-01  0.85702E+02  0.87330E+02  0.49572E-01  0.85485E+02
   10.5900   2.9760  17.4717  0.73302E+02  0.85107E+02  0.44776E-01  0.83408E+02  0.84944E+02  0.44832E-01  0.83180E+02
   10.5900   2.9760  17.5717  0.71422E+02  0.82764E+02  0.40461E-01  0.81139E+02  0.82588E+02  0.40510E-01  0.80902E+02
   10.5900   2.9760  17.6717  0.69592E+02  0.80513E+02  0.36530E-01  0.78959E+02  0.80326E+02  0.36574E-01  0.78713E+02
   10.5900   2.9760  17.7717  0.67811E+02  0.78348E+02  0.32953E-01  0.76862E+02  0.78149E+02  0.32991E-01  0.76606E+02
   10.5900   2.9760  17.8717  0.66078E+02  0.76182E+02  0.29700E-01  0.74761E+02  0.75973E+02  0.29733E-01  0.74498E+02
   10.5900   2.9760  17.9717  0.64391E+02  0.74110E+02  0.26744E-01  0.72751E+02  0.73892E+02  0.26774E-01  0.72481E+02
   10.5900   2.9760  18.0717  0.62748E+02  0.72137E+02  0.24058E-01  0.70836E+02  0.71909E+02  0.24084E-01  0.70560E+02
   10.5900   2.9760  18.1717  0.61149E+02  0.70150E+02  0.21623E-01  0.68906E+02  0.69913E+02  0.21645E-01  0.68622E+02
   10.5900   2.9760  18.2717  0.59592E+02  0.68247E+02  0.19415E-01  0.67057E+02  0.68004E+02  0.19435E-01  0.66769E+02
   10.5900   2.9760  18.3717  0.58075E+02  0.66399E+02  0.17416E-01  0.65260E+02  0.66148E+02  0.17433E-01  0.64966E+02
   10.5900   2.9760  18.4717  0.56599E+02  0.64607E+02  0.15607E-01  0.63518E+02  0.64350E+02  0.15622E-01  0.63220E+02
   10.5900   2.9760  18.5717  0.55160E+02  0.62861E+02  0.13972E-01  0.61818E+02  0.62598E+02  0.13985E-01  0.61516E+02
   10.5900   2.9760  18.6717  0.53759E+02  0.61166E+02  0.12496E-01  0.60168E+02  0.60897E+02  0.12507E-01  0.59863E+02
   10.5900   2.9760  18.7717  0.52393E+02  0.59522E+02  0.11163E-01  0.58567E+02  0.59249E+02  0.11173E-01  0.58259E+02
   10.5900   2.9760  18.8717  0.51063E+02  0.57912E+02  0.99628E-02  0.56998E+02  0.57635E+02  0.99709E-02  0.56687E+02
   10.5900   2.9760  18.9717  0.49767E+02  0.56353E+02  0.88819E-02  0.55477E+02  0.56070E+02  0.88888E-02  0.55163E+02
   10.5900   2.9760  19.0717  0.48504E+02  0.54831E+02  0.79097E-02  0.53994E+02  0.54546E+02  0.79156E-02  0.53679E+02
   10.5900   2.9760  19.1717  0.47273E+02  0.53353E+02  0.70365E-02  0.52553E+02  0.53065E+02  0.70414E-02  0.52235E+02
   10.5900   2.9760  19.2717  0.46073E+02  0.51918E+02  0.62529E-02  0.51153E+02  0.51627E+02  0.62571E-02  0.50834E+02
   10.5900   2.9760  19.3717  0.44903E+02  0.50521E+02  0.55506E-02  0.49789E+02  0.50227E+02  0.55542E-02  0.49468E+02
   10.5900   2.9760  19.4717  0.43763E+02  0.49156E+02  0.49220E-02  0.48455E+02  0.48860E+02  0.49249E-02  0.48134E+02
   10.5900   2.9760  19.5717  0.42651E+02  0.47832E+02  0.43600E-02  0.47162E+02  0.47534E+02  0.43625E-02  0.46840E+02
   10.5900   2.9760  19.6717  0.41567E+02  0.46543E+02  0.38581E-02  0.45902E+02  0.46244E+02  0.38602E-02  0.45579E+02
   10.5900   2.9760  19.7717  0.40510E+02  0.45284E+02  0.34106E-02  0.44671E+02  0.44984E+02  0.34123E-02  0.44348E+02
   10.5900   2.9760  19.8717  0.39479E+02  0.44073E+02  0.30120E-02  0.43486E+02  0.43772E+02  0.30134E-02  0.43164E+02
   10.5900   2.9760  19.9717  0.38474E+02  0.42879E+02  0.26576E-02  0.42317E+02  0.42577E+02  0.26587E-02  0.41996E+02
   10.5900   2.9760  20.0717  0.37493E+02  0.41723E+02  0.23428E-02  0.41185E+02  0.41421E+02  0.23437E-02  0.40864E+02
   10.5900   2.9810  15.0717  0.13885E+03  0.16821E+03  0.40637E+00  0.16312E+03  0.16873E+03  0.40709E+00  0.16344E+03
   10.5900   2.9810  15.1717  0.13509E+03  0.16334E+03  0.37291E+00  0.15848E+03  0.16381E+03  0.37356E+00  0.15876E+03
   10.5900   2.9810  15.2717  0.13144E+03  0.15863E+03  0.34203E+00  0.15400E+03  0.15905E+03  0.34262E+00  0.15424E+03
   10.5900   2.9810  15.3717  0.12790E+03  0.15407E+03  0.31355E+00  0.14965E+03  0.15444E+03  0.31409E+00  0.14985E+03
   10.5900   2.9810  15.4717  0.12446E+03  0.14964E+03  0.28730E+00  0.14543E+03  0.14997E+03  0.28779E+00  0.14559E+03
   10.5900   2.9810  15.5717  0.12113E+03  0.14537E+03  0.26311E+00  0.14135E+03  0.14566E+03  0.26355E+00  0.14148E+03
   10.5900   2.9810  15.6717  0.11790E+03  0.14122E+03  0.24082E+00  0.13738E+03  0.14147E+03  0.24122E+00  0.13748E+03
   10.5900   2.9810  15.7717  0.11476E+03  0.13725E+03  0.22030E+00  0.13359E+03  0.13747E+03  0.22066E+00  0.13366E+03
   10.5900   2.9810  15.8717  0.11171E+03  0.13332E+03  0.20142E+00  0.12982E+03  0.13350E+03  0.20174E+00  0.12987E+03
   10.5900   2.9810  15.9717  0.10875E+03  0.12956E+03  0.18404E+00  0.12623E+03  0.12971E+03  0.18434E+00  0.12625E+03
   10.5900   2.9810  16.0717  0.10587E+03  0.12589E+03  0.16807E+00  0.12271E+03  0.12601E+03  0.16833E+00  0.12270E+03
   10.5900   2.9810  16.1717  0.10308E+03  0.12234E+03  0.15339E+00  0.11930E+03  0.12243E+03  0.15362E+00  0.11927E+03
   10.5900   2.9810  16.2717  0.10037E+03  0.11892E+03  0.13990E+00  0.11602E+03  0.11899E+03  0.14011E+00  0.11597E+03
   10.5900   2.9810  16.3717  0.97738E+02  0.11559E+03  0.12752E+00  0.11281E+03  0.11563E+03  0.12771E+00  0.11274E+03
   10.5900   2.9810  16.4717  0.95178E+02  0.11235E+03  0.11615E+00  0.10971E+03  0.11237E+03  0.11632E+00  0.10962E+03
   10.5900   2.9810  16.5717  0.92692E+02  0.10922E+03  0.10573E+00  0.10669E+03  0.10921E+03  0.10589E+00  0.10658E+03
   10.5900   2.9810  16.6717  0.90275E+02  0.10619E+03  0.96179E-01  0.10377E+03  0.10615E+03  0.96317E-01  0.10364E+03
   10.5900   2.9810  16.7717  0.87925E+02  0.10325E+03  0.87429E-01  0.10094E+03  0.10319E+03  0.87552E-01  0.10079E+03
   10.5900   2.9810  16.8717  0.85642E+02  0.10039E+03  0.79417E-01  0.98180E+02  0.10032E+03  0.79527E-01  0.98023E+02
   10.5900   2.9810  16.9717  0.83421E+02  0.97616E+02  0.72086E-01  0.95506E+02  0.97526E+02  0.72184E-01  0.95334E+02
   10.5900   2.9810  17.0717  0.81263E+02  0.94920E+02  0.65382E-01  0.92903E+02  0.94812E+02  0.65468E-01  0.92718E+02
   10.5900   2.9810  17.1717  0.79163E+02  0.92310E+02  0.59257E-01  0.90382E+02  0.92183E+02  0.59335E-01  0.90181E+02
   10.5900   2.9810  17.2717  0.77122E+02  0.89778E+02  0.53662E-01  0.87935E+02  0.89639E+02  0.53731E-01  0.87725E+02
   10.5900   2.9810  17.3717  0.75136E+02  0.87312E+02  0.48558E-01  0.85550E+02  0.87158E+02  0.48619E-01  0.85329E+02
   10.5900   2.9810  17.4717  0.73204E+02  0.84941E+02  0.43902E-01  0.83257E+02  0.84774E+02  0.43956E-01  0.83025E+02
   10.5900   2.9810  17.5717  0.71324E+02  0.82604E+02  0.39660E-01  0.80993E+02  0.82424E+02  0.39708E-01  0.80752E+02
   10.5900   2.9810  17.6717  0.69495E+02  0.80352E+02  0.35797E-01  0.78811E+02  0.80160E+02  0.35839E-01  0.78561E+02
   10.5900   2.9810  17.7717  0.67715E+02  0.78181E+02  0.32281E-01  0.76707E+02  0.77978E+02  0.32318E-01  0.76449E+02
   10.5900   2.9810  17.8717  0.65982E+02  0.76026E+02  0.29085E-01  0.74617E+02  0.75812E+02  0.29118E-01  0.74350E+02
   10.5900   2.9810  17.9717  0.64296E+02  0.73957E+02  0.26183E-01  0.72609E+02  0.73735E+02  0.26211E-01  0.72336E+02
   10.5900   2.9810  18.0717  0.62654E+02  0.71955E+02  0.23546E-01  0.70666E+02  0.71724E+02  0.23571E-01  0.70386E+02
