 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.149138048       2.14125848       15.0717001       2.93899989       295.591278       355.099915    
  0.151112020       2.16960001       15.1716995       2.93899989       287.787292       344.983185    
  0.153098792       2.19812512       15.2716999       2.93899989       280.207214       335.180725    
  0.155098274       2.22683287       15.3717003       2.93899989       272.842773       325.684570    
  0.157110438       2.25572276       15.4716997       2.93899989       265.686829       316.516022    
  0.159135431       2.28479648       15.5717001       2.93899989       258.732544       307.556396    
  0.161173105       2.31405258       15.6716995       2.93899989       251.972870       298.898376    
  0.163223490       2.34349108       15.7716999       2.93899989       245.401047       290.498138    
  0.165286601       2.37311244       15.8717003       2.93899989       239.011429       282.361633    
  0.167362362       2.40291524       15.9716997       2.93899989       232.797867       274.464783    
  0.169450849       2.43290091       16.0716991       2.93899989       226.754227       266.803314    
  0.171552077       2.46306920       16.1716995       2.93899989       220.875549       259.365906    
  0.173665926       2.49341893       16.2716999       2.93899989       215.156525       252.145706    
  0.175792485       2.52395129       16.3717003       2.93899989       209.591522       245.146103    
  0.177931711       2.55466533       16.4717007       2.93899989       204.176498       238.345352    
  0.180083588       2.58556104       16.5716991       2.93899989       198.906631       231.755524    
  0.182248116       2.61663842       16.6716995       2.93899989       193.776779       225.332016    
  0.184425309       2.64789748       16.7716999       2.93899989       188.783371       219.107224    
  0.186615109       2.67933774       16.8717003       2.93899989       183.922195       213.055695    
  0.188817665       2.71096110       16.9717007       2.93899989       179.188736       207.192276    
  0.191032723       2.74276376       17.0716991       2.93899989       174.579926       201.488998    
  0.193260476       2.77474904       17.1716995       2.93899989       170.091690       196.068359    
  0.195500821       2.80691481       17.2716999       2.93899989       165.720154       190.676590    
  0.197753802       2.83926201       17.3717003       2.93899989       161.462616       185.431839    
  0.200019404       2.87179065       17.4717007       2.93899989       157.318695       180.344955    
  0.202297509       2.90449882       17.5716991       2.93899989       153.282623       175.399689    
  0.204588294       2.93738866       17.6716995       2.93899989       149.351044       170.608307    
  0.206891611       2.97045875       17.7716999       2.93899989       145.520737       165.934845    
  0.209207535       3.00370979       17.8717003       2.93899989       141.788910       161.377457    
  0.211536050       3.03714156       17.9717007       2.93899989       138.153046       156.962601    
  0.213877067       3.07075286       18.0716991       2.93899989       134.610153       152.689499    
  0.216230661       3.10454488       18.1716995       2.93899989       131.157745       148.481781    
  0.218596816       3.13851714       18.2716999       2.93899989       127.793625       144.420425    
  0.220975548       3.17266989       18.3717003       2.93899989       124.514732       140.477646    
  0.223366752       3.20700169       18.4717007       2.93899989       121.319336       136.635635    
  0.225770459       3.24151301       18.5716991       2.93899989       118.205078       132.897675    
  0.228186771       3.27620530       18.6716995       2.93899989       115.169395       129.269913    
  0.230615586       3.31107712       18.7716999       2.93899989       112.210640       125.734657    
  0.233056903       3.34612846       18.8717003       2.93899989       109.326447       122.299713    
  0.235510647       3.38135815       18.9717007       2.93899989       106.514908       118.952431    
  0.237976894       3.41676760       19.0716991       2.93899989       103.774406       115.708122    
  0.240455687       3.45235705       19.1716995       2.93899989       101.102432       112.539726    
  0.242946878       3.48812461       19.2716999       2.93899989       98.4976959       109.459908    
  0.245450586       3.52407169       19.3717003       2.93899989       95.9583282       106.461433    
  0.247966766       3.56019783       19.4717007       2.93899989       93.4823837       103.549660    
  0.250495344       3.59650207       19.5716991       2.93899989       91.0686569       100.716072    
  0.253036410       3.63298535       19.6716995       2.93899989       88.7150803       97.9553299    
  0.255589932       3.66964769       19.7716999       2.93899989       86.4203262       95.2697678    
  0.258155853       3.70648837       19.8717003       2.93899989       84.1829987       92.6578369    
  0.260734200       3.74350715       19.9717007       2.93899989       82.0012054       90.1129913    
  0.263324916       3.78070331       20.0716991       2.93899989       79.8740311       87.6360550    
  0.149489462       2.14490128       15.0717001       2.94400001       295.333344       354.559113    
  0.151468098       2.17329121       15.1716995       2.94400001       287.530548       344.445892    
  0.153459549       2.20186472       15.2716999       2.94400001       279.951599       334.661316    
