EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11.inp                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.704  7.90    0.86   -1.69    0.34    0.00   -1.35  0.783
   3.034  0.557  7.16    0.90   -6.08    0.36    0.00   -5.71 6.214E-01

  10.589 29.161  8.25    0.80   -2.62    0.32    0.00   -2.30  0.784
   3.075  0.585  6.73    0.83   -7.18    0.34    0.00   -6.85 4.845E-01

  10.589 29.718  8.63    0.75   -3.50    0.31    0.00   -3.19  0.791
   3.099  0.614  6.30    0.78   -8.23    0.32    0.00   -7.91 3.679E-01

  10.589 30.358  9.03    0.72   -4.33    0.30    0.00   -4.03  0.806
   3.110  0.643  5.88    0.75   -9.21    0.32    0.00   -8.89 2.724E-01

  10.589 30.792  9.39    0.68   -5.20    0.31    0.00   -4.89  0.835
   3.145  0.672  5.46    0.71  -10.24    0.33    0.00   -9.92 2.049E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

