 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9794  23.9166   0.3794   5.4178  0.22612E+01  0.22611E+01  0.15693E-04  0.23283E+01  0.15438E-03  0.20432E-01  0.23077E+01  0.10000E+01
   10.5890   3.0078  24.1906   0.3932   5.5936  0.20481E+01  0.20481E+01  0.15106E-04  0.20909E+01  0.11620E-03  0.16849E-01  0.20739E+01  0.10000E+01
   10.5890   3.0434  24.5344   0.4110   5.8193  0.18011E+01  0.18011E+01  0.14470E-04  0.18194E+01  0.80825E-04  0.13204E-01  0.18061E+01  0.10000E+01
   10.5890   3.0792  24.9028   0.4302   6.0631  0.15634E+01  0.15634E+01  0.13893E-04  0.15622E+01  0.54929E-04  0.10207E-01  0.15519E+01  0.10000E+01
   10.5890   3.0950  25.3763   0.4497   6.3244  0.13316E+01  0.13316E+01  0.13109E-04  0.13177E+01  0.37187E-04  0.79018E-02  0.13097E+01  0.10000E+01
   10.5890   3.0994  25.9121   0.4695   6.5990  0.11191E+01  0.11191E+01  0.12290E-04  0.10973E+01  0.25044E-04  0.61149E-02  0.10912E+01  0.10000E+01
   10.5890   3.1088  26.4023   0.4892   6.8673  0.94360E+00  0.94359E+00  0.11718E-04  0.91699E+00  0.17049E-04  0.47641E-02  0.91221E+00  0.10000E+01
   10.5890   3.1425  26.7104   0.5082   7.1018  0.81516E+00  0.81515E+00  0.11670E-04  0.78468E+00  0.11936E-04  0.37858E-02  0.78088E+00  0.10000E+01
   10.5890   3.1808  26.9399   0.5258   7.3101  0.71435E+00  0.71434E+00  0.11837E-04  0.68168E+00  0.86532E-05  0.30807E-02  0.67859E+00  0.10000E+01
   10.5890   3.2141  27.1960   0.5437   7.5251  0.62027E+00  0.62025E+00  0.12024E-04  0.58687E+00  0.62551E-05  0.25083E-02  0.58436E+00  0.10000E+01
