                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9794  23.9166  0.22612E+01  0.23927E+01  0.15367E-03  0.23738E+01  0.23283E+01  0.15438E-03  0.23077E+01
   10.5890   3.0078  24.1906  0.20481E+01  0.21523E+01  0.11574E-03  0.21368E+01  0.20909E+01  0.11620E-03  0.20739E+01
   10.5890   3.0434  24.5344  0.18011E+01  0.18769E+01  0.80574E-04  0.18647E+01  0.18194E+01  0.80825E-04  0.18061E+01
   10.5890   3.0792  24.9028  0.15634E+01  0.16151E+01  0.54806E-04  0.16057E+01  0.15622E+01  0.54929E-04  0.15519E+01
   10.5890   3.0950  25.3763  0.13316E+01  0.13650E+01  0.37128E-04  0.13577E+01  0.13177E+01  0.37187E-04  0.13097E+01
   10.5890   3.0994  25.9121  0.11191E+01  0.11388E+01  0.25018E-04  0.11332E+01  0.10973E+01  0.25044E-04  0.10912E+01
   10.5890   3.1088  26.4023  0.94360E+00  0.95344E+00  0.17042E-04  0.94905E+00  0.91699E+00  0.17049E-04  0.91221E+00
   10.5890   3.1425  26.7104  0.81516E+00  0.81751E+00  0.11942E-04  0.81403E+00  0.78468E+00  0.11936E-04  0.78088E+00
   10.5890   3.1808  26.9399  0.71435E+00  0.71154E+00  0.86640E-05  0.70871E+00  0.68168E+00  0.86532E-05  0.67859E+00
   10.5890   3.2141  27.1960  0.62027E+00  0.61370E+00  0.62675E-05  0.61140E+00  0.58687E+00  0.62551E-05  0.58436E+00
