 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9850  30.1160   0.5980   8.5335  0.39048E+00  0.39040E+00  0.77221E-04  0.36391E+00  0.57722E-06  0.12877E-02  0.36262E+00  0.10017E+01
   10.5890   3.0030  30.3379   0.6118   8.7089  0.34372E+00  0.34365E+00  0.78601E-04  0.31881E+00  0.49181E-06  0.11125E-02  0.31770E+00  0.10018E+01
   10.5890   3.0280  30.6330   0.6307   8.9490  0.28736E+00  0.28728E+00  0.80956E-04  0.26470E+00  0.40044E-06  0.91661E-03  0.26378E+00  0.10019E+01
   10.5890   3.0537  30.9286   0.6503   9.1957  0.23767E+00  0.23759E+00  0.83960E-04  0.21713E+00  0.32627E-06  0.75736E-03  0.21637E+00  0.10020E+01
   10.5890   3.0782  31.2247   0.6700   9.4434  0.19528E+00  0.19519E+00  0.87502E-04  0.17713E+00  0.26533E-06  0.63382E-03  0.17650E+00  0.10021E+01
   10.5890   3.0952  31.5652   0.6897   9.6985  0.15876E+00  0.15867E+00  0.90900E-04  0.14303E+00  0.21407E-06  0.53310E-03  0.14250E+00  0.10022E+01
   10.5890   3.1019  31.9775   0.7095   9.9684  0.12713E+00  0.12704E+00  0.93823E-04  0.11383E+00  0.17012E-06  0.45178E-03  0.11338E+00  0.10024E+01
   10.5890   3.1118  32.3592   0.7294  10.2339  0.10159E+00  0.10149E+00  0.97949E-04  0.90367E-01  0.13351E-06  0.38922E-03  0.89978E-01  0.10025E+01
   10.5890   3.1373  32.6050   0.7488  10.4709  0.82381E-01  0.82276E-01  0.10505E-03  0.72754E-01  0.10440E-06  0.34619E-03  0.72408E-01  0.10026E+01
   10.5890   3.1639  32.8344   0.7683  10.7046  0.66579E-01  0.66466E-01  0.11362E-03  0.58360E-01  0.80572E-07  0.31418E-03  0.58046E-01  0.10027E+01
   10.5890   3.1901  33.0263   0.7862  10.9163  0.54452E-01  0.54328E-01  0.12317E-03  0.47404E-01  0.62824E-07  0.29293E-03  0.47111E-01  0.10029E+01
   10.5890   3.2067  33.2829   0.8041  11.1394  0.44170E-01  0.44038E-01  0.13258E-03  0.38165E-01  0.48493E-07  0.27547E-03  0.37889E-01  0.10029E+01
