                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9909  26.2120  0.15362E+01  0.15699E+01  0.16082E-04  0.15631E+01  0.15142E+01  0.16104E-04  0.15069E+01
   10.5890   3.0169  26.4745  0.13699E+01  0.13919E+01  0.10232E-04  0.13862E+01  0.13405E+01  0.10243E-04  0.13344E+01
   10.5890   3.0495  26.8083  0.11778E+01  0.11877E+01  0.57536E-05  0.11833E+01  0.11418E+01  0.57580E-05  0.11370E+01
   10.5890   3.0800  27.1545  0.10039E+01  0.10050E+01  0.32840E-05  0.10015E+01  0.96430E+00  0.32853E-05  0.96055E+00
   10.5890   3.0951  27.5835  0.84311E+00  0.83847E+00  0.19751E-05  0.83572E+00  0.80315E+00  0.19752E-05  0.80019E+00
   10.5890   3.1007  28.0653  0.69964E+00  0.69138E+00  0.12758E-05  0.68920E+00  0.66122E+00  0.12755E-05  0.65888E+00
   10.5890   3.1104  28.5114  0.58023E+00  0.56983E+00  0.89425E-06  0.56809E+00  0.54413E+00  0.89384E-06  0.54226E+00
   10.5890   3.1415  28.7931  0.49014E+00  0.47811E+00  0.67823E-06  0.47669E+00  0.45576E+00  0.67772E-06  0.45424E+00
   10.5890   3.1733  29.0439  0.41521E+00  0.40272E+00  0.54078E-06  0.40155E+00  0.38328E+00  0.54018E-06  0.38202E+00
   10.5890   3.2017  29.2442  0.35917E+00  0.34655E+00  0.45369E-06  0.34555E+00  0.32936E+00  0.45306E-06  0.32829E+00
