                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9882  32.0300  0.22159E+00  0.21191E+00  0.24433E-06  0.21114E+00  0.20109E+00  0.24409E-06  0.20027E+00
   10.5890   3.0078  32.2600  0.18856E+00  0.17945E+00  0.20562E-06  0.17878E+00  0.17007E+00  0.20537E-06  0.16935E+00
   10.5890   3.0299  32.5509  0.15337E+00  0.14511E+00  0.16461E-06  0.14453E+00  0.13730E+00  0.16436E-06  0.13668E+00
   10.5890   3.0536  32.8238  0.12388E+00  0.11653E+00  0.12999E-06  0.11602E+00  0.11008E+00  0.12976E-06  0.10955E+00
   10.5890   3.0768  33.0991  0.98927E-01  0.92528E-01  0.10081E-06  0.92082E-01  0.87275E-01  0.10060E-06  0.86803E-01
   10.5890   3.0934  33.4123  0.78245E-01  0.72790E-01  0.77171E-07  0.72388E-01  0.68558E-01  0.76989E-07  0.68136E-01
   10.5890   3.1024  33.7770  0.61243E-01  0.56653E-01  0.58252E-07  0.56286E-01  0.53279E-01  0.58101E-07  0.52896E-01
   10.5890   3.1095  34.1536  0.47308E-01  0.43533E-01  0.43435E-07  0.43193E-01  0.40884E-01  0.43312E-07  0.40531E-01
   10.5890   3.1333  34.3902  0.36846E-01  0.33783E-01  0.32359E-07  0.33455E-01  0.31696E-01  0.32258E-07  0.31359E-01
   10.5890   3.1513  34.5591  0.32473E-01  0.29302E-01  0.25927E-07  0.28979E-01  0.27366E-01  0.25841E-07  0.27036E-01
