EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.212  6.51    1.11    1.65    0.44    0.00    2.10  0.725
   2.991  0.457  8.63    1.19   -2.00    0.48    0.00   -1.53 1.538E+00

  10.589 26.475  6.70    1.05    1.09    0.41    0.00    1.50  0.722
   3.017  0.472  8.39    1.12   -2.69    0.44    0.00   -2.25 1.371E+00

  10.589 26.808  6.94    0.99    0.35    0.38    0.00    0.73  0.719
   3.049  0.491  8.09    1.05   -3.57    0.40    0.00   -3.17 1.179E+00

  10.589 27.154  7.19    0.93   -0.36    0.35    0.00   -0.01  0.718
   3.080  0.510  7.78    0.99   -4.43    0.37    0.00   -4.06 1.005E+00

  10.589 27.583  7.45    0.88   -1.00    0.33    0.00   -0.67  0.718
   3.095  0.530  7.49    0.94   -5.21    0.35    0.00   -4.86 8.442E-01

  10.589 28.065  7.72    0.85   -1.62    0.31    0.00   -1.31  0.719
   3.101  0.549  7.21    0.90   -5.95    0.33    0.00   -5.62 7.006E-01

  10.589 28.511  7.99    0.81   -2.23    0.30    0.00   -1.93  0.724
   3.110  0.569  6.93    0.86   -6.68    0.32    0.00   -6.36 5.811E-01

  10.589 28.793  8.23    0.77   -2.89    0.29    0.00   -2.61  0.732
   3.141  0.589  6.63    0.82   -7.47    0.31    0.00   -7.16 4.909E-01

  10.589 29.044  8.45    0.74   -3.45    0.28    0.00   -3.17  0.743
   3.173  0.607  6.35    0.78   -8.14    0.30    0.00   -7.84 4.159E-01

  10.589 29.244  8.64    0.71   -3.96    0.28    0.00   -3.68  0.756
   3.202  0.623  6.10    0.75   -8.76    0.30    0.00   -8.46 3.598E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

