                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9914  26.2012  0.11299E+01  0.11531E+01  0.31585E-04  0.11463E+01  0.11116E+01  0.31654E-04  0.11041E+01
   10.5890   3.0186  26.4687  0.10020E+01  0.10163E+01  0.23500E-04  0.10107E+01  0.97797E+00  0.23537E-04  0.97185E+00
   10.5890   3.0500  26.8082  0.85717E+00  0.86253E+00  0.16321E-04  0.85812E+00  0.82826E+00  0.16333E-04  0.82346E+00
   10.5890   3.0814  27.1478  0.72685E+00  0.72572E+00  0.11304E-04  0.72225E+00  0.69543E+00  0.11303E-04  0.69166E+00
   10.5890   3.0964  27.5730  0.60685E+00  0.60165E+00  0.78838E-05  0.59893E+00  0.57548E+00  0.78776E-05  0.57251E+00
   10.5890   3.1009  28.0676  0.49782E+00  0.49024E+00  0.54579E-05  0.48811E+00  0.46811E+00  0.54502E-05  0.46578E+00
   10.5890   3.1111  28.5096  0.40944E+00  0.40050E+00  0.38226E-05  0.39882E+00  0.38175E+00  0.38149E-05  0.37992E+00
   10.5890   3.1404  28.8047  0.34199E+00  0.33218E+00  0.27309E-05  0.33082E+00  0.31602E+00  0.27234E-05  0.31455E+00
   10.5890   3.1783  29.0071  0.28944E+00  0.27921E+00  0.19967E-05  0.27811E+00  0.26513E+00  0.19898E-05  0.26393E+00
   10.5890   3.2006  29.2552  0.24613E+00  0.23607E+00  0.15122E-05  0.23515E+00  0.22382E+00  0.15061E-05  0.22281E+00
