 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.456568658       6.50945997       26.2012005       2.99140000       1.12986410       1.11157620    
  0.471695572       6.70105314       26.4687004       3.01859999       1.00196457      0.977973998    
  0.490717024       6.94236231       26.8082008       3.04999995      0.857165396      0.828259468    
  0.510297179       7.18930197       27.1478004       3.08139992      0.726846516      0.695432484    
  0.529714763       7.44795465       27.5730000       3.09640002      0.606850743      0.575478494    
  0.549631476       7.72334909       28.0676003       3.10089993      0.497816652      0.468107074    
  0.569356918       7.98962975       28.5095997       3.11109996      0.409438044      0.381752044    
  0.588732183       8.22914791       28.8047009       3.14039993      0.341994524      0.316022992    
  0.607149243       8.44339466       29.0070992       3.17829990      0.289438695      0.265133262    
  0.623560071       8.64552116       29.2551994       3.20059991      0.246131748      0.223817006    
