 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9858  30.1097   0.5980   8.5323  0.36564E+00  0.36560E+00  0.37509E-04  0.33816E+00  0.57748E-06  0.13985E-02  0.33676E+00  0.10018E+01
   10.5890   3.0037  30.3323   0.6118   8.7078  0.31975E+00  0.31971E+00  0.41984E-04  0.29388E+00  0.49201E-06  0.12022E-02  0.29268E+00  0.10019E+01
   10.5890   3.0287  30.6300   0.6308   8.9494  0.26457E+00  0.26452E+00  0.48407E-04  0.24110E+00  0.40015E-06  0.98188E-03  0.24012E+00  0.10020E+01
   10.5890   3.0542  30.9243   0.6503   9.1947  0.21688E+00  0.21683E+00  0.55264E-04  0.19591E+00  0.32641E-06  0.80693E-03  0.19511E+00  0.10021E+01
   10.5890   3.0787  31.2212   0.6700   9.4429  0.17620E+00  0.17614E+00  0.62454E-04  0.15783E+00  0.26535E-06  0.66894E-03  0.15716E+00  0.10022E+01
   10.5890   3.0956  31.5628   0.6897   9.6983  0.14151E+00  0.14144E+00  0.69335E-04  0.12574E+00  0.21403E-06  0.55981E-03  0.12518E+00  0.10024E+01
   10.5890   3.1017  31.9801   0.7095   9.9693  0.11170E+00  0.11162E+00  0.75529E-04  0.98492E-01  0.17001E-06  0.47144E-03  0.98020E-01  0.10026E+01
   10.5890   3.1120  32.3583   0.7294  10.2340  0.87869E-01  0.87786E-01  0.82438E-04  0.76888E-01  0.13348E-06  0.40388E-03  0.76484E-01  0.10027E+01
   10.5890   3.1374  32.6053   0.7488  10.4714  0.69806E-01  0.69714E-01  0.91479E-04  0.60601E-01  0.10434E-06  0.35678E-03  0.60244E-01  0.10029E+01
   10.5890   3.1650  32.8303   0.7685  10.7058  0.55051E-01  0.54949E-01  0.10177E-03  0.47404E-01  0.80379E-07  0.32168E-03  0.47082E-01  0.10031E+01
   10.5890   3.1902  33.0292   0.7864  10.9185  0.43942E-01  0.43830E-01  0.11218E-03  0.37548E-01  0.62671E-07  0.29792E-03  0.37250E-01  0.10033E+01
   10.5890   3.2095  33.2748   0.8047  11.1439  0.34170E-01  0.34047E-01  0.12293E-03  0.29023E-01  0.48089E-07  0.27869E-03  0.28744E-01  0.10037E+01
