                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9885  32.0287  0.15349E+00  0.14537E+00  0.24424E-06  0.14481E+00  0.13763E+00  0.24400E-06  0.13702E+00
   10.5890   3.0075  32.2622  0.12938E+00  0.12190E+00  0.20562E-06  0.12141E+00  0.11526E+00  0.20537E-06  0.11473E+00
   10.5890   3.0305  32.5432  0.10426E+00  0.97594E-01  0.16490E-06  0.97175E-01  0.92124E-01  0.16465E-06  0.91677E-01
   10.5890   3.0528  32.8301  0.82956E-01  0.77158E-01  0.12996E-06  0.76795E-01  0.72715E-01  0.12973E-06  0.72329E-01
   10.5890   3.0759  33.1035  0.65495E-01  0.60533E-01  0.10094E-06  0.60214E-01  0.56954E-01  0.10073E-06  0.56616E-01
   10.5890   3.0922  33.4195  0.51101E-01  0.46939E-01  0.77252E-07  0.46653E-01  0.44094E-01  0.77070E-07  0.43793E-01
   10.5890   3.0980  33.8156  0.39041E-01  0.35642E-01  0.58027E-07  0.35385E-01  0.33431E-01  0.57877E-07  0.33161E-01
   10.5890   3.1102  34.1488  0.29500E-01  0.26810E-01  0.43424E-07  0.26571E-01  0.25120E-01  0.43302E-07  0.24871E-01
   10.5890   3.1357  34.3641  0.22001E-01  0.20015E-01  0.32552E-07  0.19786E-01  0.18762E-01  0.32450E-07  0.18525E-01
   10.5890   3.1579  34.6137  0.16622E-01  0.15160E-01  0.24007E-07  0.14936E-01  0.14222E-01  0.23926E-07  0.13994E-01
