 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379596174       5.42158175       23.9307995       2.97799993       3.14806604       3.21753836    
  0.393192351       5.59355927       24.1893005       3.00810003       2.83703065       2.87504625    
  0.411005646       5.81997681       24.5370007       3.04310012       2.46855116       2.47547317    
  0.430264026       6.06337261       24.9025002       3.07940006       2.12159944       2.10257983    
  0.449714035       6.32354212       25.3708992       3.09590006       1.78901696       1.75640380    
  0.469590306       6.60020733       25.9158001       3.09910011       1.48334885       1.44263232    
  0.488973320       6.86383200       26.3959007       3.10870004       1.23931205       1.19421077    
  0.508489370       7.10419464       26.7089996       3.14389992       1.05338180       1.00457633    
  0.526109874       7.31305504       26.9416008       3.18169999      0.911850274      0.861988723    
  0.542639196       7.52377367       27.2528992       3.20040011      0.783338904      0.734811246    
