 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9885  32.0268   0.6754   9.6328  0.18620E+00  0.18612E+00  0.80799E-04  0.16751E+00  0.24421E-06  0.85439E-03  0.16666E+00  0.10024E+01
   10.5890   3.0079  32.2590   0.6912   9.8327  0.15637E+00  0.15628E+00  0.88518E-04  0.13973E+00  0.20540E-06  0.74285E-03  0.13899E+00  0.10025E+01
   10.5890   3.0303  32.5489   0.7106  10.0799  0.12510E+00  0.12500E+00  0.98421E-04  0.11087E+00  0.16428E-06  0.63223E-03  0.11024E+00  0.10027E+01
   10.5890   3.0535  32.8229   0.7301  10.3241  0.99481E-01  0.99372E-01  0.10916E-03  0.87454E-01  0.12988E-06  0.54721E-03  0.86906E-01  0.10029E+01
   10.5890   3.0769  33.0975   0.7500  10.5731  0.78115E-01  0.77994E-01  0.12106E-03  0.68090E-01  0.10065E-06  0.48033E-03  0.67609E-01  0.10030E+01
   10.5890   3.0944  33.4046   0.7698  10.8258  0.60886E-01  0.60753E-01  0.13299E-03  0.52594E-01  0.77008E-07  0.42841E-03  0.52165E-01  0.10032E+01
   10.5890   3.1022  33.7791   0.7894  11.0907  0.46785E-01  0.46641E-01  0.14420E-03  0.40000E-01  0.58075E-07  0.38631E-03  0.39614E-01  0.10034E+01
   10.5890   3.1095  34.1522   0.8091  11.3564  0.35150E-01  0.34993E-01  0.15636E-03  0.29777E-01  0.43355E-07  0.35453E-03  0.29423E-01  0.10040E+01
   10.5890   3.1336  34.3858   0.8289  11.5968  0.25823E-01  0.25650E-01  0.17364E-03  0.21830E-01  0.32309E-07  0.33702E-03  0.21493E-01  0.10044E+01
   10.5890   3.1591  34.5950   0.8484  11.8295  0.19885E-01  0.19692E-01  0.19376E-03  0.16709E-01  0.24096E-07  0.32734E-03  0.16382E-01  0.10022E+01
