 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379544288       5.42005682       23.9228992       2.97909999       3.67895508       3.77084875    
  0.393241405       5.59359360       24.1856995       3.00900006       3.33387566       3.38697052    
  0.410938352       5.81771326       24.5251999       3.04480004       2.92908335       2.94284797    
  0.430317611       6.06364346       24.9006004       3.07999992       2.53158951       2.51172543    
  0.449758708       6.32400131       25.3710003       3.09610009       2.14875937       2.11210513    
  0.469554991       6.59900570       25.9099998       3.09990001       1.79434705       1.74690878    
  0.489178300       6.86569881       26.3948002       3.10980010       1.50278199       1.44947553    
  0.508520067       7.10634041       26.7208996       3.14210010       1.28047073       1.22313166    
  0.525996745       7.31118584       26.9368000       3.18199992       1.11460471       1.05525911    
  0.542802989       7.52747107       27.2658005       3.19899988      0.955373347      0.897696853    
