                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9430  28.2581  0.84161E+00  0.84415E+00  0.25687E-05  0.84073E+00  0.81064E+00  0.25710E-05  0.80696E+00
   10.5890   2.9966  28.3361  0.75470E+00  0.75184E+00  0.17467E-05  0.74902E+00  0.72070E+00  0.17474E-05  0.71766E+00
   10.5890   3.0235  28.6191  0.65229E+00  0.64578E+00  0.12105E-05  0.64348E+00  0.61804E+00  0.12106E-05  0.61557E+00
   10.5890   3.0514  28.9356  0.55190E+00  0.54281E+00  0.86547E-06  0.54098E+00  0.51860E+00  0.86527E-06  0.51663E+00
   10.5890   3.0791  29.2543  0.46276E+00  0.45214E+00  0.65358E-06  0.45067E+00  0.43122E+00  0.65325E-06  0.42965E+00
   10.5890   3.0951  29.6331  0.38403E+00  0.37294E+00  0.51587E-06  0.37176E+00  0.35513E+00  0.51545E-06  0.35386E+00
   10.5890   3.0992  30.0948  0.31285E+00  0.30208E+00  0.41334E-06  0.30113E+00  0.28724E+00  0.41291E-06  0.28621E+00
   10.5890   3.1097  30.4985  0.25550E+00  0.24529E+00  0.33535E-06  0.24451E+00  0.23289E+00  0.33494E-06  0.23206E+00
   10.5890   3.1369  30.7701  0.21092E+00  0.20126E+00  0.27370E-06  0.20061E+00  0.19079E+00  0.27328E-06  0.19009E+00
   10.5890   3.1698  30.9818  0.17484E+00  0.16584E+00  0.22350E-06  0.16529E+00  0.15695E+00  0.22308E-06  0.15636E+00
   10.5890   3.1953  31.1961  0.14633E+00  0.13807E+00  0.18442E-06  0.13759E+00  0.13049E+00  0.18403E-06  0.12997E+00
   10.5890   3.2096  31.4958  0.11998E+00  0.11264E+00  0.14926E-06  0.11221E+00  0.10631E+00  0.14891E-06  0.10585E+00
