 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675467193       9.63417625       32.0297012       2.98839998      0.172521502      0.156516671    
  0.691225469       9.83416080       32.2636986       3.00749993      0.146615654      0.132226437    
  0.710443497       10.0770483       32.5435982       3.03040004      0.119594440      0.107067369    
  0.730164766       10.3256750       32.8277016       3.05310011       9.63964462E-02   8.56646448E-02
  0.749964774       10.5742931       33.1077003       3.07540011       7.71121457E-02   6.80338740E-02
  0.769669473       10.8281479       33.4216003       3.09200001       6.10578433E-02   5.34827299E-02
  0.789518297       11.0982075       33.8133011       3.09820008       4.75077406E-02   4.13266979E-02
  0.809194684       11.3556643       34.1436996       3.11080003       3.70085947E-02   3.19584422E-02
  0.828680933       11.5908661       34.3666000       3.13540006       2.90280543E-02   2.48664096E-02
  0.843864024       11.7805882       34.5742989       3.14969993       2.38318183E-02   2.02798136E-02
