                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9430  28.2581  0.84214E+00  0.84745E+00  0.25687E-05  0.84403E+00  0.81416E+00  0.25710E-05  0.81048E+00
   10.5890   2.9966  28.3361  0.75527E+00  0.75479E+00  0.17467E-05  0.75197E+00  0.72383E+00  0.17474E-05  0.72079E+00
   10.5890   3.0235  28.6191  0.65288E+00  0.64834E+00  0.12105E-05  0.64605E+00  0.62075E+00  0.12106E-05  0.61828E+00
   10.5890   3.0514  28.9356  0.55250E+00  0.54494E+00  0.86547E-06  0.54311E+00  0.52085E+00  0.86527E-06  0.51888E+00
   10.5890   3.0791  29.2543  0.46337E+00  0.45394E+00  0.65358E-06  0.45248E+00  0.43311E+00  0.65325E-06  0.43153E+00
   10.5890   3.0951  29.6331  0.38463E+00  0.37448E+00  0.51587E-06  0.37330E+00  0.35673E+00  0.51545E-06  0.35546E+00
   10.5890   3.0992  30.0948  0.31343E+00  0.30339E+00  0.41334E-06  0.30244E+00  0.28859E+00  0.41291E-06  0.28756E+00
   10.5890   3.1097  30.4985  0.25606E+00  0.24641E+00  0.33535E-06  0.24564E+00  0.23404E+00  0.33494E-06  0.23321E+00
   10.5890   3.1369  30.7701  0.21146E+00  0.20226E+00  0.27370E-06  0.20161E+00  0.19180E+00  0.27328E-06  0.19110E+00
   10.5890   3.1698  30.9818  0.17536E+00  0.16672E+00  0.22350E-06  0.16617E+00  0.15784E+00  0.22308E-06  0.15724E+00
   10.5890   3.1953  31.1961  0.14682E+00  0.13885E+00  0.18442E-06  0.13837E+00  0.13126E+00  0.18403E-06  0.13075E+00
   10.5890   3.2096  31.4958  0.12043E+00  0.11331E+00  0.14926E-06  0.11289E+00  0.10698E+00  0.14891E-06  0.10652E+00
