 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9844  30.1204   0.5980   8.5342  0.30668E+00  0.30667E+00  0.61147E-05  0.28738E+00  0.22190E-05  0.12656E-02  0.28611E+00  0.10000E+01
   10.5890   3.0041  30.3394   0.6121   8.7130  0.27040E+00  0.27039E+00  0.62792E-05  0.25180E+00  0.17409E-05  0.10773E-02  0.25072E+00  0.10000E+01
   10.5890   3.0282  30.6308   0.6307   8.9483  0.22799E+00  0.22798E+00  0.65756E-05  0.21058E+00  0.12704E-05  0.87611E-03  0.20971E+00  0.10000E+01
   10.5890   3.0539  30.9253   0.6502   9.1944  0.18956E+00  0.18955E+00  0.70064E-05  0.17361E+00  0.91747E-06  0.70865E-03  0.17290E+00  0.10000E+01
   10.5890   3.0802  31.2088   0.6700   9.4401  0.15653E+00  0.15652E+00  0.74948E-05  0.14215E+00  0.66665E-06  0.57649E-03  0.14158E+00  0.10000E+01
   10.5890   3.0935  31.5763   0.6896   9.6998  0.12716E+00  0.12716E+00  0.81581E-05  0.11458E+00  0.48411E-06  0.46964E-03  0.11411E+00  0.10000E+01
   10.5890   3.1014  31.9830   0.7096   9.9701  0.10178E+00  0.10177E+00  0.89745E-05  0.90994E-01  0.35079E-06  0.38404E-03  0.90610E-01  0.10000E+01
   10.5890   3.1103  32.3666   0.7292  10.2335  0.81264E-01  0.81254E-01  0.99591E-05  0.72101E-01  0.25633E-06  0.31790E-03  0.71783E-01  0.10000E+01
   10.5890   3.1373  32.6000   0.7486  10.4677  0.65583E-01  0.65571E-01  0.11685E-04  0.57712E-01  0.18965E-06  0.26912E-03  0.57443E-01  0.10000E+01
   10.5890   3.1642  32.8332   0.7683  10.7049  0.52264E-01  0.52250E-01  0.14170E-04  0.45608E-01  0.13947E-06  0.23074E-03  0.45377E-01  0.10000E+01
   10.5890   3.1905  33.0315   0.7866  10.9210  0.42051E-01  0.42034E-01  0.17411E-04  0.36415E-01  0.10500E-06  0.20383E-03  0.36211E-01  0.10000E+01
   10.5890   3.2026  33.3025   0.8035  11.1379  0.33756E-01  0.33736E-01  0.20548E-04  0.29021E-01  0.80392E-07  0.18296E-03  0.28838E-01  0.10000E+01
