                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9844  30.1204  0.30668E+00  0.30100E+00  0.22235E-05  0.29983E+00  0.28738E+00  0.22190E-05  0.28611E+00
   10.5890   3.0041  30.3394  0.27040E+00  0.26408E+00  0.17453E-05  0.26309E+00  0.25180E+00  0.17409E-05  0.25072E+00
   10.5890   3.0282  30.6308  0.22799E+00  0.22123E+00  0.12744E-05  0.22043E+00  0.21058E+00  0.12704E-05  0.20971E+00
   10.5890   3.0539  30.9253  0.18956E+00  0.18272E+00  0.92101E-06  0.18207E+00  0.17361E+00  0.91747E-06  0.17290E+00
   10.5890   3.0802  31.2088  0.15653E+00  0.14989E+00  0.66891E-06  0.14936E+00  0.14215E+00  0.66665E-06  0.14158E+00
   10.5890   3.0935  31.5763  0.12716E+00  0.12101E+00  0.48594E-06  0.12058E+00  0.11458E+00  0.48411E-06  0.11411E+00
   10.5890   3.1014  31.9830  0.10178E+00  0.96263E-01  0.35225E-06  0.95912E-01  0.90994E-01  0.35079E-06  0.90610E-01
   10.5890   3.1103  32.3666  0.81264E-01  0.76401E-01  0.25749E-06  0.76110E-01  0.72101E-01  0.25633E-06  0.71783E-01
   10.5890   3.1373  32.6000  0.65583E-01  0.61265E-01  0.19059E-06  0.61019E-01  0.57712E-01  0.18965E-06  0.57443E-01
   10.5890   3.1642  32.8332  0.52264E-01  0.48506E-01  0.14023E-06  0.48295E-01  0.45608E-01  0.13947E-06  0.45377E-01
   10.5890   3.1905  33.0315  0.42051E-01  0.38794E-01  0.10562E-06  0.38609E-01  0.36415E-01  0.10500E-06  0.36211E-01
   10.5890   3.2026  33.3025  0.33756E-01  0.30968E-01  0.80894E-07  0.30801E-01  0.29021E-01  0.80392E-07  0.28838E-01
