 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9884  32.0297   0.6755   9.6342  0.17295E+00  0.17289E+00  0.56707E-04  0.15734E+00  0.24397E-06  0.60681E-03  0.15673E+00  0.10022E+01
   10.5890   3.0075  32.2637   0.6912   9.8342  0.14702E+00  0.14696E+00  0.62069E-04  0.13294E+00  0.20522E-06  0.52628E-03  0.13241E+00  0.10023E+01
   10.5890   3.0304  32.5436   0.7104  10.0770  0.11997E+00  0.11991E+00  0.68959E-04  0.10769E+00  0.16468E-06  0.44776E-03  0.10724E+00  0.10025E+01
   10.5890   3.0531  32.8277   0.7302  10.3257  0.96738E-01  0.96661E-01  0.76479E-04  0.86192E-01  0.12975E-06  0.38555E-03  0.85807E-01  0.10026E+01
   10.5890   3.0754  33.1077   0.7500  10.5743  0.77404E-01  0.77319E-01  0.84622E-04  0.68456E-01  0.10070E-06  0.33771E-03  0.68118E-01  0.10028E+01
   10.5890   3.0920  33.4216   0.7697  10.8281  0.61286E-01  0.61193E-01  0.92817E-04  0.53813E-01  0.77039E-07  0.30039E-03  0.53513E-01  0.10029E+01
   10.5890   3.0982  33.8133   0.7895  11.0982  0.47650E-01  0.47550E-01  0.10048E-03  0.41552E-01  0.57906E-07  0.26974E-03  0.41282E-01  0.10031E+01
   10.5890   3.1108  34.1437   0.8092  11.3557  0.37061E-01  0.36951E-01  0.10973E-03  0.32081E-01  0.43320E-07  0.24851E-03  0.31832E-01  0.10033E+01
   10.5890   3.1354  34.3666   0.8287  11.5909  0.28988E-01  0.28866E-01  0.12181E-03  0.24894E-01  0.32444E-07  0.23644E-03  0.24658E-01  0.10035E+01
   10.5890   3.1497  34.5743   0.8439  11.7806  0.23706E-01  0.23575E-01  0.13142E-03  0.20229E-01  0.25782E-07  0.22933E-03  0.19999E-01  0.10037E+01
