 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675467193       9.63417625       32.0297012       2.98839998      0.172949061      0.157340005    
  0.691225469       9.83416080       32.2636986       3.00749993      0.147024989      0.132941440    
  0.710443497       10.0770483       32.5435982       3.03040004      0.119974561      0.107690901    
  0.730164766       10.3256750       32.8277016       3.05310011       9.67375562E-02   8.61923397E-02
  0.749964774       10.5742931       33.1077003       3.07540011       7.74038285E-02   6.84561878E-02
  0.769669473       10.8281479       33.4216003       3.09200001       6.12855442E-02   5.38132899E-02
  0.789518297       11.0982075       33.8133011       3.09820008       4.76499833E-02   4.15517688E-02
  0.809194684       11.3556643       34.1436996       3.11080003       3.70607153E-02   3.20807584E-02
  0.828680933       11.5908661       34.3666000       3.13540006       2.89880466E-02   2.48942710E-02
  0.843864024       11.7805882       34.5742989       3.14969993       2.37059277E-02   2.02285927E-02
