 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9882  32.0300   0.6754   9.6337  0.22407E+00  0.22399E+00  0.80801E-04  0.20424E+00  0.24409E-06  0.85397E-03  0.20338E+00  0.10021E+01
   10.5890   3.0078  32.2600   0.6912   9.8329  0.19126E+00  0.19117E+00  0.88534E-04  0.17321E+00  0.20537E-06  0.74274E-03  0.17246E+00  0.10023E+01
   10.5890   3.0299  32.5509   0.7106  10.0798  0.15619E+00  0.15609E+00  0.98378E-04  0.14036E+00  0.16436E-06  0.63232E-03  0.13972E+00  0.10024E+01
   10.5890   3.0536  32.8238   0.7302  10.3250  0.12667E+00  0.12657E+00  0.10923E-03  0.11295E+00  0.12976E-06  0.54694E-03  0.11240E+00  0.10026E+01
   10.5890   3.0768  33.0991   0.7501  10.5738  0.10157E+00  0.10144E+00  0.12109E-03  0.89849E-01  0.10060E-06  0.48017E-03  0.89369E-01  0.10027E+01
   10.5890   3.0934  33.4123   0.7697  10.8272  0.80579E-01  0.80447E-01  0.13284E-03  0.70751E-01  0.76989E-07  0.42807E-03  0.70323E-01  0.10029E+01
   10.5890   3.1024  33.7770   0.7894  11.0901  0.63037E-01  0.62893E-01  0.14427E-03  0.54949E-01  0.58101E-07  0.38642E-03  0.54562E-01  0.10031E+01
   10.5890   3.1095  34.1536   0.8092  11.3573  0.48725E-01  0.48568E-01  0.15649E-03  0.42157E-01  0.43312E-07  0.35443E-03  0.41803E-01  0.10033E+01
   10.5890   3.1333  34.3902   0.8290  11.5985  0.37877E-01  0.37703E-01  0.17378E-03  0.32501E-01  0.32258E-07  0.33681E-03  0.32165E-01  0.10035E+01
   10.5890   3.1513  34.5591   0.8438  11.7765  0.31229E-01  0.31041E-01  0.18812E-03  0.26625E-01  0.25841E-07  0.32853E-03  0.26297E-01  0.10037E+01
