                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9904  26.2147  0.18747E+01  0.19337E+01  0.16085E-04  0.19235E+01  0.18692E+01  0.16108E-04  0.18581E+01
   10.5890   3.0171  26.4767  0.16794E+01  0.17209E+01  0.10194E-04  0.17125E+01  0.16608E+01  0.10205E-04  0.16516E+01
   10.5890   3.0483  26.8154  0.14536E+01  0.14778E+01  0.57540E-05  0.14711E+01  0.14233E+01  0.57586E-05  0.14161E+01
   10.5890   3.0804  27.1518  0.12490E+01  0.12597E+01  0.32848E-05  0.12545E+01  0.12109E+01  0.32862E-05  0.12052E+01
   10.5890   3.0950  27.5817  0.10565E+01  0.10581E+01  0.19794E-05  0.10540E+01  0.10152E+01  0.19795E-05  0.10108E+01
   10.5890   3.1003  28.0706  0.88106E+00  0.87643E+00  0.12728E-05  0.87317E+00  0.83950E+00  0.12726E-05  0.83597E+00
   10.5890   3.1109  28.5077  0.73726E+00  0.72853E+00  0.89455E-06  0.72594E+00  0.69666E+00  0.89416E-06  0.69386E+00
   10.5890   3.1404  28.8021  0.62584E+00  0.61414E+00  0.67741E-06  0.61204E+00  0.58618E+00  0.67691E-06  0.58391E+00
   10.5890   3.1750  29.0346  0.53492E+00  0.52141E+00  0.54047E-06  0.51968E+00  0.49676E+00  0.53987E-06  0.49490E+00
   10.5890   3.1985  29.2720  0.46263E+00  0.44846E+00  0.45198E-06  0.44699E+00  0.42663E+00  0.45136E-06  0.42504E+00
