                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9909  26.2120  0.15807E+01  0.16137E+01  0.16082E-04  0.16061E+01  0.15561E+01  0.16104E-04  0.15479E+01
   10.5890   3.0169  26.4745  0.14094E+01  0.14302E+01  0.10232E-04  0.14239E+01  0.13771E+01  0.10243E-04  0.13704E+01
   10.5890   3.0495  26.8083  0.12113E+01  0.12200E+01  0.57536E-05  0.12151E+01  0.11724E+01  0.57580E-05  0.11671E+01
   10.5890   3.0800  27.1545  0.10318E+01  0.10316E+01  0.32840E-05  0.10278E+01  0.98948E+00  0.32853E-05  0.98533E+00
   10.5890   3.0951  27.5835  0.86585E+00  0.85987E+00  0.19751E-05  0.85684E+00  0.82332E+00  0.19752E-05  0.82007E+00
   10.5890   3.1007  28.0653  0.71775E+00  0.70818E+00  0.12758E-05  0.70581E+00  0.67699E+00  0.12755E-05  0.67443E+00
   10.5890   3.1104  28.5114  0.59445E+00  0.58283E+00  0.89425E-06  0.58095E+00  0.55626E+00  0.89384E-06  0.55423E+00
   10.5890   3.1415  28.7931  0.50131E+00  0.48834E+00  0.67823E-06  0.48682E+00  0.46526E+00  0.67772E-06  0.46362E+00
   10.5890   3.1733  29.0439  0.42380E+00  0.41022E+00  0.54078E-06  0.40897E+00  0.39017E+00  0.54018E-06  0.38882E+00
   10.5890   3.2017  29.2442  0.36583E+00  0.35222E+00  0.45369E-06  0.35116E+00  0.33452E+00  0.45306E-06  0.33338E+00
