EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=**

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.344  7.61    0.99   -0.51    0.42    0.00   -0.09  0.818
   2.997  0.534  7.52    1.06   -4.56    0.45    0.00   -4.11 9.193E-01

  10.589 28.618  7.82    0.94   -1.13    0.39    0.00   -0.74  0.820
   3.023  0.551  7.26    1.00   -5.31    0.42    0.00   -4.88 8.028E-01

  10.589 28.939  8.07    0.88   -1.79    0.37    0.00   -1.42  0.823
   3.051  0.570  6.96    0.93   -6.11    0.40    0.00   -5.71 6.828E-01

  10.589 29.247  8.32    0.83   -2.46    0.35    0.00   -2.11  0.830
   3.080  0.590  6.66    0.88   -6.92    0.38    0.00   -6.55 5.771E-01

  10.589 29.632  8.57    0.79   -3.08    0.34    0.00   -2.74  0.840
   3.096  0.610  6.37    0.84   -7.66    0.37    0.00   -7.29 4.813E-01

  10.589 30.084  8.85    0.76   -3.66    0.33    0.00   -3.32  0.852
   3.101  0.630  6.09    0.80   -8.36    0.36    0.00   -7.99 3.952E-01

  10.589 30.506  9.11    0.73   -4.23    0.34    0.00   -3.90  0.871
   3.109  0.649  5.80    0.77   -9.04    0.36    0.00   -8.68 3.235E-01

  10.589 30.762  9.35    0.70   -4.83    0.34    0.00   -4.49  0.897
   3.138  0.669  5.51    0.74   -9.76    0.36    0.00   -9.40 2.695E-01

  10.589 30.988  9.58    0.67   -5.42    0.35    0.00   -5.07  0.932
   3.169  0.688  5.23    0.71  -10.46    0.37    0.00  -10.09 2.241E-01

  10.589 31.202  9.79    0.65   -5.94    0.36    0.00   -5.58  0.973
   3.195  0.705  4.97    0.69  -11.09    0.39    0.00  -10.70 1.881E-01

  10.589 31.512 10.01    0.64   -6.43    0.39    0.00   -6.04  1.020
   3.206  0.723  4.72    0.68  -11.66    0.41    0.00  -11.25 1.558E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

