 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379657686       5.42260265       23.9339008       2.97779989       3.10080385       3.17198563    
  0.393210858       5.59426594       24.1933002       3.00749993       2.80843234       2.84942961    
  0.410975933       5.81955576       24.5361004       3.04310012       2.45984960       2.47048998    
  0.430220634       6.06324577       24.9046993       3.07879996       2.12500644       2.11129975    
  0.449715734       6.32390356       25.3733006       3.09549999       1.80184913       1.77323711    
  0.469593465       6.60078049       25.9195004       3.09850001       1.50345159       1.46645296    
  0.489064306       6.86510849       26.3983994       3.10870004       1.26420546       1.22236872    
  0.508463144       7.10506868       26.7162991       3.14260006       1.08211601       1.03656864    
  0.526184618       7.31498241       26.9491005       3.18079996      0.942220151      0.894831896    
  0.542694867       7.52536058       27.2593002       3.19959998      0.815044045      0.768467188    
