 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9882  32.0300   0.6754   9.6337  0.22432E+00  0.22424E+00  0.80801E-04  0.20464E+00  0.24409E-06  0.85397E-03  0.20378E+00  0.10021E+01
   10.5890   3.0078  32.2600   0.6912   9.8329  0.19147E+00  0.19138E+00  0.88534E-04  0.17358E+00  0.20537E-06  0.74274E-03  0.17284E+00  0.10023E+01
   10.5890   3.0299  32.5509   0.7106  10.0798  0.15642E+00  0.15632E+00  0.98379E-04  0.14077E+00  0.16436E-06  0.63232E-03  0.14013E+00  0.10024E+01
   10.5890   3.0536  32.8238   0.7302  10.3250  0.12701E+00  0.12690E+00  0.10924E-03  0.11346E+00  0.12976E-06  0.54694E-03  0.11291E+00  0.10025E+01
   10.5890   3.0768  33.0991   0.7501  10.5738  0.10207E+00  0.10195E+00  0.12110E-03  0.90496E-01  0.10060E-06  0.48017E-03  0.90016E-01  0.10027E+01
   10.5890   3.0934  33.4123   0.7697  10.8272  0.81287E-01  0.81154E-01  0.13285E-03  0.71543E-01  0.76989E-07  0.42807E-03  0.71115E-01  0.10029E+01
   10.5890   3.1024  33.7770   0.7894  11.0901  0.63928E-01  0.63783E-01  0.14428E-03  0.55860E-01  0.58101E-07  0.38642E-03  0.55474E-01  0.10030E+01
   10.5890   3.1095  34.1536   0.8092  11.3573  0.49754E-01  0.49597E-01  0.15651E-03  0.43142E-01  0.43312E-07  0.35443E-03  0.42788E-01  0.10032E+01
   10.5890   3.1333  34.3902   0.8290  11.5985  0.38990E-01  0.38816E-01  0.17380E-03  0.33511E-01  0.32258E-07  0.33681E-03  0.33174E-01  0.10034E+01
   10.5890   3.1513  34.5591   0.8438  11.7765  0.32351E-01  0.32163E-01  0.18814E-03  0.27608E-01  0.25841E-07  0.32853E-03  0.27280E-01  0.10036E+01
