 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675467193       9.63417625       32.0297012       2.98839998      0.171151415      0.156053260    
  0.691225469       9.83416080       32.2636986       3.00749993      0.145585209      0.131980136    
  0.710443497       10.0770483       32.5435982       3.03040004      0.118982516      0.107125372    
  0.730164766       10.3256750       32.8277016       3.05310011       9.62059796E-02   8.60185996E-02
  0.749964774       10.5742931       33.1077003       3.07540011       7.73164630E-02   6.86456114E-02
  0.769669473       10.8281479       33.4216003       3.09200001       6.15982302E-02   5.43132536E-02
  0.789518297       11.0982075       33.8133011       3.09820008       4.82929982E-02   4.22899798E-02
  0.809194684       11.3556643       34.1436996       3.11080003       3.79479453E-02   3.29786427E-02
  0.828680933       11.5908661       34.3666000       3.13540006       3.00336052E-02   2.58772802E-02
  0.843864024       11.7805882       34.5742989       3.14969993       2.48026028E-02   2.12173332E-02
