 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.379502565       5.41960382       23.9227009       2.97889996       3.65007091       3.78939080    
  0.393257082       5.59403753       24.1879005       3.00869989       3.31746459       3.41243362    
  0.410929471       5.81797266       24.5277996       3.04430008       2.92809987       2.97847605    
  0.430321008       6.06369114       24.9006996       3.07999992       2.54556084       2.55929708    
  0.449769437       6.32423687       25.3719006       3.09599996       2.17515588       2.16443849    
  0.469615400       6.60011959       25.9134998       3.09960008       1.83120680       1.80461049    
  0.489167988       6.86619663       26.3987999       3.10910010       1.55028808       1.51350486    
  0.508452117       7.10548639       26.7196999       3.14199996       1.33806074       1.29336357    
  0.525957763       7.31192732       26.9438000       3.18070006       1.17655504       1.12698829    
  0.542802989       7.52747107       27.2658005       3.19899988       1.02120531      0.970513105    
