 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9844  30.1204   0.5980   8.5342  0.32262E+00  0.32262E+00  0.61147E-05  0.30074E+00  0.22190E-05  0.12656E-02  0.29948E+00  0.10000E+01
   10.5890   3.0041  30.3394   0.6121   8.7130  0.28461E+00  0.28460E+00  0.62792E-05  0.26357E+00  0.17409E-05  0.10773E-02  0.26250E+00  0.10000E+01
   10.5890   3.0282  30.6308   0.6307   8.9483  0.24007E+00  0.24007E+00  0.65756E-05  0.22044E+00  0.12704E-05  0.87611E-03  0.21956E+00  0.10000E+01
   10.5890   3.0539  30.9253   0.6502   9.1944  0.19957E+00  0.19957E+00  0.70064E-05  0.18159E+00  0.91747E-06  0.70865E-03  0.18088E+00  0.10000E+01
   10.5890   3.0802  31.2088   0.6700   9.4401  0.16463E+00  0.16462E+00  0.74948E-05  0.14841E+00  0.66665E-06  0.57649E-03  0.14784E+00  0.10000E+01
   10.5890   3.0935  31.5763   0.6896   9.6998  0.13345E+00  0.13344E+00  0.81581E-05  0.11924E+00  0.48411E-06  0.46964E-03  0.11877E+00  0.10000E+01
   10.5890   3.1014  31.9830   0.7096   9.9701  0.10638E+00  0.10637E+00  0.89745E-05  0.94201E-01  0.35079E-06  0.38404E-03  0.93816E-01  0.10000E+01
   10.5890   3.1103  32.3666   0.7292  10.2335  0.84394E-01  0.84384E-01  0.99591E-05  0.74055E-01  0.25633E-06  0.31790E-03  0.73737E-01  0.10000E+01
   10.5890   3.1373  32.6000   0.7486  10.4677  0.67439E-01  0.67427E-01  0.11685E-04  0.58596E-01  0.18965E-06  0.26912E-03  0.58327E-01  0.10000E+01
   10.5890   3.1642  32.8332   0.7683  10.7049  0.52980E-01  0.52966E-01  0.14170E-04  0.45561E-01  0.13947E-06  0.23074E-03  0.45330E-01  0.10000E+01
   10.5890   3.1905  33.0315   0.7866  10.9210  0.41856E-01  0.41839E-01  0.17411E-04  0.35639E-01  0.10500E-06  0.20383E-03  0.35435E-01  0.10000E+01
   10.5890   3.2026  33.3025   0.8035  11.1379  0.32863E-01  0.32843E-01  0.20548E-04  0.27728E-01  0.80392E-07  0.18296E-03  0.27545E-01  0.10000E+01
