 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.675285220       9.63145351       32.0245018       2.98850012      0.143773556      0.129749745    
  0.691314757       9.83517170       32.2643013       3.00769997      0.121808618      0.109094344    
  0.710477710       10.0775328       32.5443993       3.03040004       9.91439298E-02   8.79816636E-02
  0.730227888       10.3257456       32.8245010       3.05369997       7.94144049E-02   6.97902590E-02
  0.749986053       10.5737495       33.1035004       3.07599998       6.28434345E-02   5.46836145E-02
  0.769698203       10.8279743       33.4191017       3.09240007       4.88749035E-02   4.21053693E-02
  0.789443433       11.0912285       33.7798996       3.10220003       3.72113660E-02   3.17346454E-02
  0.809227347       11.3543005       34.1348000       3.11199999       2.78125443E-02   2.34695263E-02
  0.828870773       11.5956984       34.3819008       3.13400006       2.06143577E-02   1.71981789E-02
  0.843527317       11.7735128       34.5550995       3.15120006       1.62324701E-02   1.34232622E-02
