 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9909  26.2120   0.4568   6.5136  0.15733E+01  0.15733E+01 -0.57633E-06  0.15499E+01  0.16104E-04  0.81878E-02  0.15417E+01  0.10010E+01
   10.5890   3.0169  26.4745   0.4715   6.7002  0.14037E+01  0.14037E+01  0.28613E-05  0.13725E+01  0.10243E-04  0.67583E-02  0.13658E+01  0.10010E+01
   10.5890   3.0495  26.8083   0.4906   6.9413  0.12077E+01  0.12077E+01  0.87995E-05  0.11698E+01  0.57580E-05  0.52960E-02  0.11645E+01  0.10011E+01
   10.5890   3.0800  27.1545   0.5102   7.1895  0.10303E+01  0.10303E+01  0.15502E-04  0.98888E+00  0.32853E-05  0.41459E-02  0.98473E+00  0.10012E+01
   10.5890   3.0951  27.5835   0.5298   7.4504  0.86653E+00  0.86651E+00  0.22237E-04  0.82475E+00  0.19752E-05  0.32555E-02  0.82149E+00  0.10012E+01
   10.5890   3.1007  28.0653   0.5495   7.7216  0.72056E+00  0.72053E+00  0.28788E-04  0.68038E+00  0.12755E-05  0.25597E-02  0.67782E+00  0.10013E+01
   10.5890   3.1104  28.5114   0.5692   7.9888  0.59912E+00  0.59909E+00  0.35484E-04  0.56121E+00  0.89384E-06  0.20265E-02  0.55918E+00  0.10014E+01
   10.5890   3.1415  28.7931   0.5886   8.2255  0.50753E+00  0.50748E+00  0.43251E-04  0.47141E+00  0.67772E-06  0.16370E-02  0.46978E+00  0.10015E+01
   10.5890   3.1733  29.0439   0.6073   8.4511  0.43132E+00  0.43127E+00  0.51274E-04  0.39731E+00  0.54018E-06  0.13425E-02  0.39597E+00  0.10016E+01
   10.5890   3.2017  29.2442   0.6234   8.6421  0.37425E+00  0.37419E+00  0.58611E-04  0.34229E+00  0.45306E-06  0.11411E-02  0.34114E+00  0.10017E+01
