 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.534029603       7.60753489       28.3372993       2.99769998      0.587254405      0.562137485    
  0.550920069       7.82199144       28.6193008       3.02300000      0.511766255      0.485953450    
  0.570321739       8.06717014       28.9360008       3.05130005      0.435513496      0.409801185    
  0.590132058       8.31659985       29.2539005       3.07909989      0.367806196      0.342949629    
  0.609790027       8.57532597       29.6371002       3.09509993      0.306924641      0.283738285    
  0.629489779       8.84550858       30.0823994       3.10089993      0.252772927      0.231744751    
  0.649153054       9.11097050       30.4965000       3.10980010      0.207744673      0.188842922    
  0.668789804       9.34955311       30.7539005       3.13930011      0.172745094      0.155564159    
  0.687911391       9.58175659       31.0056000       3.16650009      0.143277138      0.127832219    
  0.704760313       9.78351116       31.2129993       3.19140005      0.120906010      0.106965646    
  0.721326232       10.0130730       31.5849991       3.19169998       9.96665284E-02   8.74980092E-02
