                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9794  23.9166  0.23118E+01  0.24482E+01  0.15367E-03  0.24285E+01  0.23825E+01  0.15438E-03  0.23611E+01
   10.5890   3.0078  24.1906  0.20950E+01  0.22027E+01  0.11574E-03  0.21864E+01  0.21398E+01  0.11620E-03  0.21221E+01
   10.5890   3.0434  24.5344  0.18431E+01  0.19210E+01  0.80574E-04  0.19083E+01  0.18621E+01  0.80825E-04  0.18483E+01
   10.5890   3.0792  24.9028  0.16005E+01  0.16534E+01  0.54806E-04  0.16436E+01  0.15991E+01  0.54929E-04  0.15885E+01
   10.5890   3.0950  25.3763  0.13641E+01  0.13981E+01  0.37128E-04  0.13905E+01  0.13496E+01  0.37187E-04  0.13413E+01
   10.5890   3.0994  25.9121  0.11474E+01  0.11673E+01  0.25018E-04  0.11615E+01  0.11247E+01  0.25044E-04  0.11183E+01
   10.5890   3.1088  26.4023  0.96846E+00  0.97815E+00  0.17042E-04  0.97361E+00  0.94074E+00  0.17049E-04  0.93580E+00
   10.5890   3.1425  26.7104  0.83752E+00  0.83961E+00  0.11942E-04  0.83602E+00  0.80590E+00  0.11936E-04  0.80199E+00
   10.5890   3.1808  26.9399  0.73487E+00  0.73164E+00  0.86640E-05  0.72873E+00  0.70094E+00  0.86532E-05  0.69777E+00
   10.5890   3.2141  27.1960  0.63921E+00  0.63210E+00  0.62675E-05  0.62974E+00  0.60447E+00  0.62551E-05  0.60190E+00
