 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.456832081       6.51364422       26.2119999       2.99090004       1.57332754       1.54993510    
  0.471526921       6.70016146       26.4745007       3.01690006       1.40368187       1.37254596    
  0.490607619       6.94127512       26.8083000       3.04949999       1.20767844       1.16982031    
  0.510217249       7.18951607       27.1544991       3.07999992       1.03033197      0.988880038    
  0.529795825       7.45038748       27.5834999       3.09509993      0.866532803      0.824748218    
  0.549493015       7.72160959       28.0653000       3.10069990      0.720556676      0.680382729    
  0.569245875       7.98882008       28.5114002       3.11039996      0.599123776      0.561206102    
  0.588561118       8.22554207       28.7931004       3.14150000      0.507526457      0.471414804    
  0.607290506       8.45105839       29.0438995       3.17330003      0.431318641      0.397310257    
  0.623408496       8.64213181       29.2441998       3.20169997      0.374251634      0.342285663    
