                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9903  26.2109  0.11579E+01  0.11903E+01  0.31514E-04  0.11835E+01  0.11502E+01  0.31584E-04  0.11428E+01
   10.5890   3.0180  26.4716  0.10376E+01  0.10600E+01  0.23510E-04  0.10543E+01  0.10226E+01  0.23547E-04  0.10165E+01
   10.5890   3.0495  26.8105  0.89915E+00  0.91149E+00  0.16329E-04  0.90707E+00  0.87760E+00  0.16341E-04  0.87280E+00
   10.5890   3.0801  27.1556  0.77325E+00  0.77792E+00  0.11303E-04  0.77446E+00  0.74749E+00  0.11303E-04  0.74372E+00
   10.5890   3.0965  27.5729  0.65672E+00  0.65609E+00  0.78810E-05  0.65337E+00  0.62928E+00  0.78748E-05  0.62631E+00
   10.5890   3.1000  28.0727  0.54834E+00  0.54419E+00  0.54596E-05  0.54205E+00  0.52105E+00  0.54520E-05  0.51872E+00
   10.5890   3.1098  28.5176  0.45929E+00  0.45274E+00  0.38229E-05  0.45106E+00  0.43273E+00  0.38152E-05  0.43089E+00
   10.5890   3.1403  28.8043  0.39126E+00  0.38298E+00  0.27328E-05  0.38163E+00  0.36534E+00  0.27253E-05  0.36386E+00
   10.5890   3.1773  29.0137  0.33677E+00  0.32741E+00  0.19963E-05  0.32631E+00  0.31173E+00  0.19893E-05  0.31052E+00
   10.5890   3.2000  29.2630  0.29082E+00  0.28110E+00  0.15079E-05  0.28018E+00  0.26720E+00  0.15018E-05  0.26620E+00
