 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9844  30.1162   0.5979   8.5319  0.51383E+00  0.51378E+00  0.53168E-04  0.48149E+00  0.57828E-06  0.19433E-02  0.47955E+00  0.10016E+01
   10.5890   3.0038  30.3366   0.6119   8.7105  0.45477E+00  0.45471E+00  0.59797E-04  0.42342E+00  0.49090E-06  0.16694E-02  0.42175E+00  0.10016E+01
   10.5890   3.0275  30.6378   0.6308   8.9503  0.38417E+00  0.38410E+00  0.68781E-04  0.35474E+00  0.40018E-06  0.13713E-02  0.35337E+00  0.10018E+01
   10.5890   3.0537  30.9277   0.6503   9.1952  0.32134E+00  0.32126E+00  0.78665E-04  0.29415E+00  0.32640E-06  0.11309E-02  0.29302E+00  0.10019E+01
   10.5890   3.0787  31.2212   0.6700   9.4429  0.26636E+00  0.26627E+00  0.89018E-04  0.24170E+00  0.26534E-06  0.94080E-03  0.24076E+00  0.10020E+01
   10.5890   3.0943  31.5720   0.6897   9.6997  0.21784E+00  0.21774E+00  0.98704E-04  0.19601E+00  0.21399E-06  0.78932E-03  0.19522E+00  0.10022E+01
   10.5890   3.1027  31.9714   0.7095   9.9672  0.17549E+00  0.17538E+00  0.10789E-03  0.15661E+00  0.17017E-06  0.66768E-03  0.15594E+00  0.10023E+01
   10.5890   3.1121  32.3558   0.7293  10.2328  0.14035E+00  0.14023E+00  0.11766E-03  0.12421E+00  0.13361E-06  0.57320E-03  0.12363E+00  0.10025E+01
   10.5890   3.1370  32.6043   0.7487  10.4694  0.11338E+00  0.11325E+00  0.13047E-03  0.99468E-01  0.10457E-06  0.50762E-03  0.98960E-01  0.10027E+01
   10.5890   3.1643  32.8262   0.7680  10.7008  0.90951E-01  0.90806E-01  0.14500E-03  0.79076E-01  0.80841E-07  0.45900E-03  0.78617E-01  0.10029E+01
   10.5890   3.1888  33.0473   0.7867  10.9253  0.72681E-01  0.72521E-01  0.16017E-03  0.62644E-01  0.62321E-07  0.42359E-03  0.62221E-01  0.10031E+01
   10.5890   3.2018  33.2968   0.8030  11.1315  0.58895E-01  0.58722E-01  0.17281E-03  0.50377E-01  0.49212E-07  0.39779E-03  0.49979E-01  0.10033E+01
