                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9794  23.9166  0.22534E+01  0.23893E+01  0.15367E-03  0.23696E+01  0.23264E+01  0.15438E-03  0.23049E+01
   10.5890   3.0078  24.1906  0.20442E+01  0.21527E+01  0.11574E-03  0.21364E+01  0.20925E+01  0.11620E-03  0.20747E+01
   10.5890   3.0434  24.5344  0.18014E+01  0.18811E+01  0.80574E-04  0.18684E+01  0.18246E+01  0.80825E-04  0.18108E+01
   10.5890   3.0792  24.9028  0.15677E+01  0.16229E+01  0.54806E-04  0.16130E+01  0.15706E+01  0.54929E-04  0.15599E+01
   10.5890   3.0950  25.3763  0.13392E+01  0.13757E+01  0.37128E-04  0.13681E+01  0.13289E+01  0.37187E-04  0.13206E+01
   10.5890   3.0994  25.9121  0.11294E+01  0.11517E+01  0.25018E-04  0.11459E+01  0.11104E+01  0.25044E-04  0.11041E+01
   10.5890   3.1088  26.4023  0.95571E+00  0.96765E+00  0.17042E-04  0.96311E+00  0.93124E+00  0.17049E-04  0.92630E+00
   10.5890   3.1425  26.7104  0.82863E+00  0.83277E+00  0.11942E-04  0.82917E+00  0.79983E+00  0.11936E-04  0.79592E+00
   10.5890   3.1808  26.9399  0.72879E+00  0.72727E+00  0.86640E-05  0.72436E+00  0.69718E+00  0.86532E-05  0.69401E+00
   10.5890   3.2141  27.1960  0.63535E+00  0.62982E+00  0.62675E-05  0.62746E+00  0.60264E+00  0.62551E-05  0.60007E+00
