 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.9909  26.2120   0.4568   6.5136  0.15390E+01  0.15390E+01 -0.57634E-06  0.15167E+01  0.16104E-04  0.81878E-02  0.15085E+01  0.10010E+01
   10.5890   3.0169  26.4745   0.4715   6.7002  0.13751E+01  0.13751E+01  0.28613E-05  0.13452E+01  0.10243E-04  0.67583E-02  0.13384E+01  0.10010E+01
   10.5890   3.0495  26.8083   0.4906   6.9413  0.11853E+01  0.11853E+01  0.87996E-05  0.11487E+01  0.57580E-05  0.52960E-02  0.11434E+01  0.10011E+01
   10.5890   3.0800  27.1545   0.5102   7.1895  0.10131E+01  0.10130E+01  0.15502E-04  0.97271E+00  0.32853E-05  0.41459E-02  0.96856E+00  0.10011E+01
   10.5890   3.0951  27.5835   0.5298   7.4504  0.85328E+00  0.85326E+00  0.22237E-04  0.81240E+00  0.19752E-05  0.32555E-02  0.80915E+00  0.10012E+01
   10.5890   3.1007  28.0653   0.5495   7.7216  0.71033E+00  0.71030E+00  0.28788E-04  0.67085E+00  0.12755E-05  0.25597E-02  0.66829E+00  0.10013E+01
   10.5890   3.1104  28.5114   0.5692   7.9888  0.59101E+00  0.59097E+00  0.35484E-04  0.55362E+00  0.89384E-06  0.20265E-02  0.55160E+00  0.10014E+01
   10.5890   3.1415  28.7931   0.5886   8.2255  0.50071E+00  0.50067E+00  0.43251E-04  0.46505E+00  0.67772E-06  0.16370E-02  0.46341E+00  0.10015E+01
   10.5890   3.1733  29.0439   0.6073   8.4511  0.42532E+00  0.42527E+00  0.51273E-04  0.39170E+00  0.54018E-06  0.13425E-02  0.39036E+00  0.10016E+01
   10.5890   3.2017  29.2442   0.6234   8.6421  0.36869E+00  0.36863E+00  0.58610E-04  0.33708E+00  0.45306E-06  0.11411E-02  0.33594E+00  0.10017E+01
