                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9844  30.1162  0.50785E+00  0.49686E+00  0.57840E-06  0.49507E+00  0.47427E+00  0.57828E-06  0.47233E+00
   10.5890   3.0038  30.3366  0.44882E+00  0.43682E+00  0.49111E-06  0.43528E+00  0.41638E+00  0.49090E-06  0.41471E+00
   10.5890   3.0275  30.6378  0.37827E+00  0.36568E+00  0.40048E-06  0.36441E+00  0.34793E+00  0.40018E-06  0.34656E+00
   10.5890   3.0537  30.9277  0.31549E+00  0.30286E+00  0.32673E-06  0.30181E+00  0.28760E+00  0.32640E-06  0.28647E+00
   10.5890   3.0787  31.2212  0.26059E+00  0.24837E+00  0.26569E-06  0.24750E+00  0.23539E+00  0.26534E-06  0.23445E+00
   10.5890   3.0943  31.5720  0.21220E+00  0.20085E+00  0.21433E-06  0.20012E+00  0.18999E+00  0.21399E-06  0.18920E+00
   10.5890   3.1027  31.9714  0.17003E+00  0.15984E+00  0.17048E-06  0.15922E+00  0.15092E+00  0.17017E-06  0.15025E+00
   10.5890   3.1121  32.3558  0.13507E+00  0.12608E+00  0.13387E-06  0.12555E+00  0.11881E+00  0.13361E-06  0.11824E+00
   10.5890   3.1370  32.6043  0.10822E+00  0.10028E+00  0.10481E-06  0.99798E-01  0.94290E-01  0.10457E-06  0.93783E-01
   10.5890   3.1643  32.8262  0.85906E-01  0.78998E-01  0.81055E-07  0.78563E-01  0.74118E-01  0.80841E-07  0.73659E-01
   10.5890   3.1888  33.0473  0.67779E-01  0.61865E-01  0.62504E-07  0.61461E-01  0.57915E-01  0.62321E-07  0.57492E-01
   10.5890   3.2018  33.2968  0.54168E-01  0.49116E-01  0.49367E-07  0.48735E-01  0.45893E-01  0.49212E-07  0.45495E-01
